phone_id,phone_number,person_id,device_id,carrier,activation_date,status,synthetic_flag
PHONE-000019,+91-SYN-00000019,PERSON-000484,DEVICE-000019,SyntheticTel,2023-01-01,Active,true
PHONE-000020,+91-SYN-00000020,PERSON-000484,DEVICE-000020,SyntheticTel,2023-01-01,Active,true
PHONE-000021,+91-SYN-00000021,PERSON-000599,DEVICE-000021,SyntheticTel,2023-01-01,Active,true
PHONE-000022,+91-SYN-00000022,PERSON-000838,DEVICE-000022,SyntheticTel,2023-01-01,Active,true
PHONE-000023,+91-SYN-00000023,PERSON-000838,DEVICE-000023,SyntheticTel,2023-01-01,Active,true
PHONE-000024,+91-SYN-00000024,PERSON-000341,DEVICE-000024,SyntheticTel,2023-01-01,Active,true
PHONE-000025,+91-SYN-00000025,PERSON-000342,DEVICE-000025,SyntheticTel,2023-01-01,Active,true
PHONE-000026,+91-SYN-00000026,PERSON-001262,DEVICE-000026,SyntheticTel,2023-01-01,Active,true
PHONE-000027,+91-SYN-00000027,PERSON-001648,DEVICE-000027,SyntheticTel,2023-01-01,Active,true
PHONE-000028,+91-SYN-00000028,PERSON-002900,DEVICE-000028,SyntheticTel,2023-01-01,Inactive,true
PHONE-000029,+91-SYN-00000029,PERSON-002900,DEVICE-000029,SyntheticTel,2023-01-01,Active,true
PHONE-000030,+91-SYN-00000030,PERSON-002246,DEVICE-000030,SyntheticTel,2023-01-01,Active,true
PHONE-000031,+91-SYN-00000031,PERSON-002609,DEVICE-000031,SyntheticTel,2023-01-01,Active,true
PHONE-000032,+91-SYN-00000032,PERSON-000906,DEVICE-000032,SyntheticTel,2023-01-01,Inactive,true
PHONE-000033,+91-SYN-00000033,PERSON-000217,DEVICE-000033,SyntheticTel,2023-01-01,Active,true
PHONE-000034,+91-SYN-00000034,PERSON-001768,DEVICE-000034,SyntheticTel,2023-01-01,Active,true
PHONE-000035,+91-SYN-00000035,PERSON-002964,DEVICE-000035,SyntheticTel,2023-01-01,Active,true
PHONE-000036,+91-SYN-00000036,PERSON-000492,DEVICE-000036,SyntheticTel,2023-01-01,Active,true
PHONE-000037,+91-SYN-00000037,PERSON-001059,DEVICE-000037,SyntheticTel,2023-01-01,Active,true
PHONE-000038,+91-SYN-00000038,PERSON-000920,DEVICE-000038,SyntheticTel,2023-01-01,Active,true
PHONE-000039,+91-SYN-00000039,PERSON-000920,DEVICE-000039,SyntheticTel,2023-01-01,Active,true
PHONE-000040,+91-SYN-00000040,PERSON-000144,DEVICE-000040,SyntheticTel,2023-01-01,Active,true
PHONE-000041,+91-SYN-00000041,PERSON-002999,DEVICE-000041,SyntheticTel,2023-01-01,Active,true
PHONE-000042,+91-SYN-00000042,PERSON-002082,DEVICE-000042,SyntheticTel,2023-01-01,Inactive,true
PHONE-000043,+91-SYN-00000043,PERSON-001830,DEVICE-000043,SyntheticTel,2023-01-01,Active,true
PHONE-000044,+91-SYN-00000044,PERSON-001615,DEVICE-000044,SyntheticTel,2023-01-01,Active,true
PHONE-000045,+91-SYN-00000045,PERSON-000342,DEVICE-000045,SyntheticTel,2023-01-01,Active,true
PHONE-000046,+91-SYN-00000046,PERSON-000144,DEVICE-000046,SyntheticTel,2023-01-01,Inactive,true
PHONE-000047,+91-SYN-00000047,PERSON-000144,DEVICE-000047,SyntheticTel,2023-01-01,Active,true
PHONE-000048,+91-SYN-00000048,PERSON-000302,DEVICE-000048,SyntheticTel,2023-01-01,Active,true
PHONE-000049,+91-SYN-00000049,PERSON-001880,DEVICE-000049,SyntheticTel,2023-01-01,Active,true
PHONE-000050,+91-SYN-00000050,PERSON-000001,DEVICE-000050,SyntheticTel,2023-01-01,Inactive,true
PHONE-000051,+91-SYN-00000051,PERSON-002122,DEVICE-000051,SyntheticTel,2023-01-01,Active,true
PHONE-000052,+91-SYN-00000052,PERSON-002122,DEVICE-000052,SyntheticTel,2023-01-01,Active,true
PHONE-000053,+91-SYN-00000053,PERSON-001830,DEVICE-000053,SyntheticTel,2023-01-01,Active,true
PHONE-000054,+91-SYN-00000054,PERSON-000648,DEVICE-000054,SyntheticTel,2023-01-01,Inactive,true
PHONE-000055,+91-SYN-00000055,PERSON-001536,DEVICE-000055,SyntheticTel,2023-01-01,Inactive,true
PHONE-000056,+91-SYN-00000056,PERSON-000647,DEVICE-000056,SyntheticTel,2023-01-01,Inactive,true
PHONE-000057,+91-SYN-00000057,PERSON-001788,DEVICE-000057,SyntheticTel,2023-01-01,Inactive,true
PHONE-000058,+91-SYN-00000058,PERSON-001788,DEVICE-000058,SyntheticTel,2023-01-01,Inactive,true
PHONE-000059,+91-SYN-00000059,PERSON-000259,DEVICE-000059,SyntheticTel,2023-01-01,Active,true
PHONE-000060,+91-SYN-00000060,PERSON-000898,DEVICE-000060,SyntheticTel,2023-01-01,Active,true
PHONE-000061,+91-SYN-00000061,PERSON-000895,DEVICE-000061,SyntheticTel,2023-01-01,Active,true
PHONE-000062,+91-SYN-00000062,PERSON-000568,DEVICE-000062,SyntheticTel,2023-01-01,Inactive,true
PHONE-000063,+91-SYN-00000063,PERSON-001318,DEVICE-000063,SyntheticTel,2023-01-01,Inactive,true
PHONE-000064,+91-SYN-00000064,PERSON-000106,DEVICE-000064,SyntheticTel,2023-01-01,Active,true
PHONE-000065,+91-SYN-00000065,PERSON-001880,DEVICE-000065,SyntheticTel,2023-01-01,Active,true
PHONE-000066,+91-SYN-00000066,PERSON-002737,DEVICE-000066,SyntheticTel,2023-01-01,Active,true
PHONE-000067,+91-SYN-00000067,PERSON-000682,DEVICE-000067,SyntheticTel,2023-01-01,Active,true
PHONE-000068,+91-SYN-00000068,PERSON-000473,DEVICE-000068,SyntheticTel,2023-01-01,Active,true
PHONE-000069,+91-SYN-00000069,PERSON-000042,DEVICE-000069,SyntheticTel,2023-01-01,Active,true
PHONE-000070,+91-SYN-00000070,PERSON-000042,DEVICE-000070,SyntheticTel,2023-01-01,Active,true
PHONE-000071,+91-SYN-00000071,PERSON-001807,DEVICE-000071,SyntheticTel,2023-01-01,Active,true
PHONE-000072,+91-SYN-00000072,PERSON-000165,DEVICE-000072,SyntheticTel,2023-01-01,Active,true
PHONE-000073,+91-SYN-00000073,PERSON-000275,DEVICE-000073,SyntheticTel,2023-01-01,Inactive,true
PHONE-000074,+91-SYN-00000074,PERSON-001481,DEVICE-000074,SyntheticTel,2023-01-01,Inactive,true
PHONE-000075,+91-SYN-00000075,PERSON-001481,DEVICE-000075,SyntheticTel,2023-01-01,Inactive,true
PHONE-000076,+91-SYN-00000076,PERSON-002068,DEVICE-000076,SyntheticTel,2023-01-01,Inactive,true
PHONE-000077,+91-SYN-00000077,PERSON-000032,DEVICE-000077,SyntheticTel,2023-01-01,Active,true
PHONE-000078,+91-SYN-00000078,PERSON-002821,DEVICE-000078,SyntheticTel,2023-01-01,Active,true
PHONE-000079,+91-SYN-00000079,PERSON-002821,DEVICE-000079,SyntheticTel,2023-01-01,Active,true
PHONE-000080,+91-SYN-00000080,PERSON-001474,DEVICE-000080,SyntheticTel,2023-01-01,Active,true
PHONE-000081,+91-SYN-00000081,PERSON-001474,DEVICE-000081,SyntheticTel,2023-01-01,Active,true
PHONE-000082,+91-SYN-00000082,PERSON-001115,DEVICE-000082,SyntheticTel,2023-01-01,Active,true
PHONE-000083,+91-SYN-00000083,PERSON-001610,DEVICE-000083,SyntheticTel,2023-01-01,Active,true
PHONE-000084,+91-SYN-00000084,PERSON-000267,DEVICE-000084,SyntheticTel,2023-01-01,Active,true
PHONE-000085,+91-SYN-00000085,PERSON-000267,DEVICE-000085,SyntheticTel,2023-01-01,Active,true
PHONE-000086,+91-SYN-00000086,PERSON-000792,DEVICE-000086,SyntheticTel,2023-01-01,Active,true
PHONE-000087,+91-SYN-00000087,PERSON-000106,DEVICE-000087,SyntheticTel,2023-01-01,Active,true
PHONE-000088,+91-SYN-00000088,PERSON-002900,DEVICE-000088,SyntheticTel,2023-01-01,Inactive,true
PHONE-000089,+91-SYN-00000089,PERSON-002618,DEVICE-000089,SyntheticTel,2023-01-01,Active,true
PHONE-000090,+91-SYN-00000090,PERSON-002618,DEVICE-000090,SyntheticTel,2023-01-01,Active,true
PHONE-000091,+91-SYN-00000091,PERSON-002639,DEVICE-000091,SyntheticTel,2023-01-01,Active,true
PHONE-000092,+91-SYN-00000092,PERSON-002839,DEVICE-000092,SyntheticTel,2023-01-01,Active,true
PHONE-000093,+91-SYN-00000093,PERSON-002839,DEVICE-000093,SyntheticTel,2023-01-01,Active,true
PHONE-000094,+91-SYN-00000094,PERSON-000274,DEVICE-000094,SyntheticTel,2023-01-01,Active,true
PHONE-000095,+91-SYN-00000095,PERSON-000274,DEVICE-000095,SyntheticTel,2023-01-01,Active,true
PHONE-000096,+91-SYN-00000096,PERSON-001610,DEVICE-000096,SyntheticTel,2023-01-01,Inactive,true
PHONE-000097,+91-SYN-00000097,PERSON-001610,DEVICE-000097,SyntheticTel,2023-01-01,Inactive,true
PHONE-000098,+91-SYN-00000098,PERSON-002368,DEVICE-000098,SyntheticTel,2023-01-01,Inactive,true
PHONE-000099,+91-SYN-00000099,PERSON-001705,DEVICE-000099,SyntheticTel,2023-01-01,Inactive,true
PHONE-000100,+91-SYN-00000100,PERSON-000911,DEVICE-000100,SyntheticTel,2023-01-01,Active,true
PHONE-000101,+91-SYN-00000101,PERSON-000232,DEVICE-000101,SyntheticTel,2023-01-01,Inactive,true
PHONE-000102,+91-SYN-00000102,PERSON-001691,DEVICE-000102,SyntheticTel,2023-01-01,Active,true
PHONE-000103,+91-SYN-00000103,PERSON-000842,DEVICE-000103,SyntheticTel,2023-01-01,Active,true
PHONE-000104,+91-SYN-00000104,PERSON-001012,DEVICE-000104,SyntheticTel,2023-01-01,Active,true
PHONE-000105,+91-SYN-00000105,PERSON-000175,DEVICE-000105,SyntheticTel,2023-01-01,Inactive,true
PHONE-000106,+91-SYN-00000106,PERSON-001782,DEVICE-000106,SyntheticTel,2023-01-01,Active,true
PHONE-000107,+91-SYN-00000107,PERSON-002256,DEVICE-000107,SyntheticTel,2023-01-01,Inactive,true
PHONE-000108,+91-SYN-00000108,PERSON-001206,DEVICE-000108,SyntheticTel,2023-01-01,Active,true
PHONE-000109,+91-SYN-00000109,PERSON-002788,DEVICE-000109,SyntheticTel,2023-01-01,Active,true
PHONE-000110,+91-SYN-00000110,PERSON-000710,DEVICE-000110,SyntheticTel,2023-01-01,Inactive,true
PHONE-000111,+91-SYN-00000111,PERSON-000072,DEVICE-000111,SyntheticTel,2023-01-01,Active,true
PHONE-000112,+91-SYN-00000112,PERSON-001769,DEVICE-000112,SyntheticTel,2023-01-01,Inactive,true
PHONE-000113,+91-SYN-00000113,PERSON-002106,DEVICE-000113,SyntheticTel,2023-01-01,Active,true
PHONE-000114,+91-SYN-00000114,PERSON-001803,DEVICE-000114,SyntheticTel,2023-01-01,Inactive,true
PHONE-000115,+91-SYN-00000115,PERSON-002197,DEVICE-000115,SyntheticTel,2023-01-01,Active,true
PHONE-000116,+91-SYN-00000116,PERSON-002197,DEVICE-000116,SyntheticTel,2023-01-01,Inactive,true
PHONE-000117,+91-SYN-00000117,PERSON-002965,DEVICE-000117,SyntheticTel,2023-01-01,Inactive,true
PHONE-000118,+91-SYN-00000118,PERSON-000703,DEVICE-000118,SyntheticTel,2023-01-01,Inactive,true
PHONE-000119,+91-SYN-00000119,PERSON-001492,DEVICE-000119,SyntheticTel,2023-01-01,Active,true
PHONE-000120,+91-SYN-00000120,PERSON-001544,DEVICE-000120,SyntheticTel,2023-01-01,Active,true
PHONE-000121,+91-SYN-00000121,PERSON-001898,DEVICE-000121,SyntheticTel,2023-01-01,Inactive,true
PHONE-000122,+91-SYN-00000122,PERSON-000621,DEVICE-000122,SyntheticTel,2023-01-01,Active,true
PHONE-000123,+91-SYN-00000123,PERSON-000083,DEVICE-000123,SyntheticTel,2023-01-01,Inactive,true
PHONE-000124,+91-SYN-00000124,PERSON-001543,DEVICE-000124,SyntheticTel,2023-01-01,Inactive,true
PHONE-000125,+91-SYN-00000125,PERSON-001873,DEVICE-000125,SyntheticTel,2023-01-01,Inactive,true
PHONE-000126,+91-SYN-00000126,PERSON-001873,DEVICE-000126,SyntheticTel,2023-01-01,Active,true
PHONE-000127,+91-SYN-00000127,PERSON-002745,DEVICE-000127,SyntheticTel,2023-01-01,Active,true
PHONE-000128,+91-SYN-00000128,PERSON-001205,DEVICE-000128,SyntheticTel,2023-01-01,Inactive,true
PHONE-000129,+91-SYN-00000129,PERSON-000260,DEVICE-000129,SyntheticTel,2023-01-01,Inactive,true
PHONE-000130,+91-SYN-00000130,PERSON-000499,DEVICE-000130,SyntheticTel,2023-01-01,Active,true
PHONE-000131,+91-SYN-00000131,PERSON-000499,DEVICE-000131,SyntheticTel,2023-01-01,Active,true
PHONE-000132,+91-SYN-00000132,PERSON-001780,DEVICE-000132,SyntheticTel,2023-01-01,Active,true
PHONE-000133,+91-SYN-00000133,PERSON-002397,DEVICE-000133,SyntheticTel,2023-01-01,Active,true
PHONE-000134,+91-SYN-00000134,PERSON-002397,DEVICE-000134,SyntheticTel,2023-01-01,Active,true
PHONE-000135,+91-SYN-00000135,PERSON-002646,DEVICE-000135,SyntheticTel,2023-01-01,Active,true
PHONE-000136,+91-SYN-00000136,PERSON-001747,DEVICE-000136,SyntheticTel,2023-01-01,Inactive,true
PHONE-000137,+91-SYN-00000137,PERSON-001747,DEVICE-000137,SyntheticTel,2023-01-01,Active,true
PHONE-000138,+91-SYN-00000138,PERSON-002846,DEVICE-000138,SyntheticTel,2023-01-01,Inactive,true
PHONE-000139,+91-SYN-00000139,PERSON-000374,DEVICE-000139,SyntheticTel,2023-01-01,Active,true
PHONE-000140,+91-SYN-00000140,PERSON-002304,DEVICE-000140,SyntheticTel,2023-01-01,Active,true
PHONE-000141,+91-SYN-00000141,PERSON-002304,DEVICE-000141,SyntheticTel,2023-01-01,Active,true
PHONE-000142,+91-SYN-00000142,PERSON-001691,DEVICE-000142,SyntheticTel,2023-01-01,Active,true
PHONE-000143,+91-SYN-00000143,PERSON-001691,DEVICE-000143,SyntheticTel,2023-01-01,Inactive,true
PHONE-000144,+91-SYN-00000144,PERSON-001847,DEVICE-000144,SyntheticTel,2023-01-01,Active,true
PHONE-000145,+91-SYN-00000145,PERSON-000260,DEVICE-000145,SyntheticTel,2023-01-01,Inactive,true
PHONE-000146,+91-SYN-00000146,PERSON-000499,DEVICE-000146,SyntheticTel,2023-01-01,Active,true
PHONE-000147,+91-SYN-00000147,PERSON-000943,DEVICE-000147,SyntheticTel,2023-01-01,Inactive,true
PHONE-000148,+91-SYN-00000148,PERSON-001747,DEVICE-000148,SyntheticTel,2023-01-01,Active,true
PHONE-000149,+91-SYN-00000149,PERSON-001747,DEVICE-000149,SyntheticTel,2023-01-01,Active,true
PHONE-000150,+91-SYN-00000150,PERSON-001479,DEVICE-000150,SyntheticTel,2023-01-01,Active,true
PHONE-000151,+91-SYN-00000151,PERSON-002846,DEVICE-000151,SyntheticTel,2023-01-01,Active,true
PHONE-000152,+91-SYN-00000152,PERSON-000374,DEVICE-000152,SyntheticTel,2023-01-01,Active,true
PHONE-000153,+91-SYN-00000153,PERSON-000374,DEVICE-000153,SyntheticTel,2023-01-01,Active,true
PHONE-000154,+91-SYN-00000154,PERSON-001578,DEVICE-000154,SyntheticTel,2023-01-01,Active,true
PHONE-000155,+91-SYN-00000155,PERSON-002393,DEVICE-000155,SyntheticTel,2023-01-01,Inactive,true
PHONE-000156,+91-SYN-00000156,PERSON-000842,DEVICE-000156,SyntheticTel,2023-01-01,Active,true
PHONE-000157,+91-SYN-00000157,PERSON-002954,DEVICE-000157,SyntheticTel,2023-01-01,Inactive,true
PHONE-000158,+91-SYN-00000158,PERSON-000710,DEVICE-000158,SyntheticTel,2023-01-01,Active,true
PHONE-000159,+91-SYN-00000159,PERSON-001769,DEVICE-000159,SyntheticTel,2023-01-01,Inactive,true
PHONE-000160,+91-SYN-00000160,PERSON-000238,DEVICE-000160,SyntheticTel,2023-01-01,Active,true
PHONE-000161,+91-SYN-00000161,PERSON-002343,DEVICE-000161,SyntheticTel,2023-01-01,Active,true
PHONE-000162,+91-SYN-00000162,PERSON-002343,DEVICE-000162,SyntheticTel,2023-01-01,Inactive,true
PHONE-000163,+91-SYN-00000163,PERSON-001007,DEVICE-000163,SyntheticTel,2023-01-01,Active,true
PHONE-000164,+91-SYN-00000164,PERSON-001331,DEVICE-000164,SyntheticTel,2023-01-01,Inactive,true
PHONE-000165,+91-SYN-00000165,PERSON-001642,DEVICE-000165,SyntheticTel,2023-01-01,Active,true
PHONE-000166,+91-SYN-00000166,PERSON-000524,DEVICE-000166,SyntheticTel,2023-01-01,Active,true
PHONE-000167,+91-SYN-00000167,PERSON-001547,DEVICE-000167,SyntheticTel,2023-01-01,Active,true
PHONE-000168,+91-SYN-00000168,PERSON-000081,DEVICE-000168,SyntheticTel,2023-01-01,Active,true
PHONE-000169,+91-SYN-00000169,PERSON-001259,DEVICE-000169,SyntheticTel,2023-01-01,Active,true
PHONE-000170,+91-SYN-00000170,PERSON-000850,DEVICE-000170,SyntheticTel,2023-01-01,Active,true
PHONE-000171,+91-SYN-00000171,PERSON-001861,DEVICE-000171,SyntheticTel,2023-01-01,Inactive,true
PHONE-000172,+91-SYN-00000172,PERSON-002574,DEVICE-000172,SyntheticTel,2023-01-01,Active,true
PHONE-000173,+91-SYN-00000173,PERSON-000863,DEVICE-000173,SyntheticTel,2023-01-01,Inactive,true
PHONE-000174,+91-SYN-00000174,PERSON-000863,DEVICE-000174,SyntheticTel,2023-01-01,Inactive,true
PHONE-000175,+91-SYN-00000175,PERSON-000063,DEVICE-000175,SyntheticTel,2023-01-01,Active,true
PHONE-000176,+91-SYN-00000176,PERSON-000927,DEVICE-000176,SyntheticTel,2023-01-01,Active,true
PHONE-000177,+91-SYN-00000177,PERSON-001589,DEVICE-000177,SyntheticTel,2023-01-01,Active,true
PHONE-000178,+91-SYN-00000178,PERSON-000863,DEVICE-000178,SyntheticTel,2023-01-01,Active,true
PHONE-000179,+91-SYN-00000179,PERSON-000081,DEVICE-000179,SyntheticTel,2023-01-01,Active,true
PHONE-000180,+91-SYN-00000180,PERSON-000845,DEVICE-000180,SyntheticTel,2023-01-01,Active,true
PHONE-000181,+91-SYN-00000181,PERSON-002020,DEVICE-000181,SyntheticTel,2023-01-01,Active,true
PHONE-000182,+91-SYN-00000182,PERSON-002517,DEVICE-000182,SyntheticTel,2023-01-01,Active,true
PHONE-000183,+91-SYN-00000183,PERSON-000062,DEVICE-000183,SyntheticTel,2023-01-01,Active,true
PHONE-000184,+91-SYN-00000184,PERSON-000921,DEVICE-000184,SyntheticTel,2023-01-01,Active,true
PHONE-000185,+91-SYN-00000185,PERSON-000357,DEVICE-000185,SyntheticTel,2023-01-01,Active,true
PHONE-000186,+91-SYN-00000186,PERSON-000357,DEVICE-000186,SyntheticTel,2023-01-01,Active,true
PHONE-000187,+91-SYN-00000187,PERSON-000682,DEVICE-000187,SyntheticTel,2023-01-01,Active,true
PHONE-000188,+91-SYN-00000188,PERSON-002737,DEVICE-000188,SyntheticTel,2023-01-01,Inactive,true
PHONE-000189,+91-SYN-00000189,PERSON-000473,DEVICE-000189,SyntheticTel,2023-01-01,Inactive,true
PHONE-000190,+91-SYN-00000190,PERSON-000042,DEVICE-000190,SyntheticTel,2023-01-01,Inactive,true
PHONE-000191,+91-SYN-00000191,PERSON-002068,DEVICE-000191,SyntheticTel,2023-01-01,Inactive,true
PHONE-000192,+91-SYN-00000192,PERSON-000165,DEVICE-000192,SyntheticTel,2023-01-01,Active,true
PHONE-000193,+91-SYN-00000193,PERSON-001481,DEVICE-000193,SyntheticTel,2023-01-01,Inactive,true
PHONE-000194,+91-SYN-00000194,PERSON-001481,DEVICE-000194,SyntheticTel,2023-01-01,Active,true
PHONE-000195,+91-SYN-00000195,PERSON-000275,DEVICE-000195,SyntheticTel,2023-01-01,Active,true
PHONE-000196,+91-SYN-00000196,PERSON-000275,DEVICE-000196,SyntheticTel,2023-01-01,Inactive,true
PHONE-000197,+91-SYN-00000197,PERSON-000032,DEVICE-000197,SyntheticTel,2023-01-01,Inactive,true
PHONE-000198,+91-SYN-00000198,PERSON-000703,DEVICE-000198,SyntheticTel,2023-01-01,Active,true
PHONE-000199,+91-SYN-00000199,PERSON-001558,DEVICE-000199,SyntheticTel,2023-01-01,Inactive,true
PHONE-000200,+91-SYN-00000200,PERSON-001474,DEVICE-000200,SyntheticTel,2023-01-01,Inactive,true
PHONE-000201,+91-SYN-00000201,PERSON-001474,DEVICE-000201,SyntheticTel,2023-01-01,Inactive,true
PHONE-000202,+91-SYN-00000202,PERSON-002900,DEVICE-000202,SyntheticTel,2023-01-01,Active,true
PHONE-000203,+91-SYN-00000203,PERSON-002900,DEVICE-000203,SyntheticTel,2023-01-01,Active,true
PHONE-000204,+91-SYN-00000204,PERSON-001115,DEVICE-000204,SyntheticTel,2023-01-01,Inactive,true
PHONE-000205,+91-SYN-00000205,PERSON-001610,DEVICE-000205,SyntheticTel,2023-01-01,Active,true
PHONE-000206,+91-SYN-00000206,PERSON-001610,DEVICE-000206,SyntheticTel,2023-01-01,Active,true
PHONE-000207,+91-SYN-00000207,PERSON-000792,DEVICE-000207,SyntheticTel,2023-01-01,Inactive,true
PHONE-000208,+91-SYN-00000208,PERSON-002060,DEVICE-000208,SyntheticTel,2023-01-01,Inactive,true
PHONE-000209,+91-SYN-00000209,PERSON-002618,DEVICE-000209,SyntheticTel,2023-01-01,Active,true
PHONE-000210,+91-SYN-00000210,PERSON-001757,DEVICE-000210,SyntheticTel,2023-01-01,Active,true
PHONE-000211,+91-SYN-00000211,PERSON-002277,DEVICE-000211,SyntheticTel,2023-01-01,Active,true
PHONE-000212,+91-SYN-00000212,PERSON-002277,DEVICE-000212,SyntheticTel,2023-01-01,Inactive,true
PHONE-000213,+91-SYN-00000213,PERSON-000449,DEVICE-000213,SyntheticTel,2023-01-01,Inactive,true
PHONE-000214,+91-SYN-00000214,PERSON-001617,DEVICE-000214,SyntheticTel,2023-01-01,Inactive,true
PHONE-000215,+91-SYN-00000215,PERSON-001194,DEVICE-000215,SyntheticTel,2023-01-01,Active,true
PHONE-000216,+91-SYN-00000216,PERSON-000341,DEVICE-000216,SyntheticTel,2023-01-01,Active,true
PHONE-000217,+91-SYN-00000217,PERSON-002930,DEVICE-000217,SyntheticTel,2023-01-01,Inactive,true
PHONE-000218,+91-SYN-00000218,PERSON-002930,DEVICE-000218,SyntheticTel,2023-01-01,Inactive,true
PHONE-000219,+91-SYN-00000219,PERSON-000009,DEVICE-000219,SyntheticTel,2023-01-01,Active,true
PHONE-000220,+91-SYN-00000220,PERSON-000009,DEVICE-000220,SyntheticTel,2023-01-01,Active,true
PHONE-000221,+91-SYN-00000221,PERSON-001899,DEVICE-000221,SyntheticTel,2023-01-01,Inactive,true
PHONE-000222,+91-SYN-00000222,PERSON-001899,DEVICE-000222,SyntheticTel,2023-01-01,Inactive,true
PHONE-000223,+91-SYN-00000223,PERSON-000106,DEVICE-000223,SyntheticTel,2023-01-01,Active,true
PHONE-000224,+91-SYN-00000224,PERSON-000106,DEVICE-000224,SyntheticTel,2023-01-01,Active,true
PHONE-000225,+91-SYN-00000225,PERSON-002633,DEVICE-000225,SyntheticTel,2023-01-01,Inactive,true
PHONE-000226,+91-SYN-00000226,PERSON-002633,DEVICE-000226,SyntheticTel,2023-01-01,Active,true
PHONE-000227,+91-SYN-00000227,PERSON-002246,DEVICE-000227,SyntheticTel,2023-01-01,Active,true
PHONE-000228,+91-SYN-00000228,PERSON-000538,DEVICE-000228,SyntheticTel,2023-01-01,Active,true
PHONE-000229,+91-SYN-00000229,PERSON-000120,DEVICE-000229,SyntheticTel,2023-01-01,Inactive,true
PHONE-000230,+91-SYN-00000230,PERSON-000921,DEVICE-000230,SyntheticTel,2023-01-01,Active,true
PHONE-000231,+91-SYN-00000231,PERSON-000863,DEVICE-000231,SyntheticTel,2023-01-01,Active,true
PHONE-000232,+91-SYN-00000232,PERSON-000895,DEVICE-000232,SyntheticTel,2023-01-01,Active,true
PHONE-000233,+91-SYN-00000233,PERSON-002999,DEVICE-000233,SyntheticTel,2023-01-01,Inactive,true
PHONE-000234,+91-SYN-00000234,PERSON-001210,DEVICE-000234,SyntheticTel,2023-01-01,Active,true
PHONE-000235,+91-SYN-00000235,PERSON-001558,DEVICE-000235,SyntheticTel,2023-01-01,Inactive,true
PHONE-000236,+91-SYN-00000236,PERSON-000351,DEVICE-000236,SyntheticTel,2023-01-01,Inactive,true
PHONE-000237,+91-SYN-00000237,PERSON-002750,DEVICE-000237,SyntheticTel,2023-01-01,Inactive,true
PHONE-000238,+91-SYN-00000238,PERSON-001041,DEVICE-000238,SyntheticTel,2023-01-01,Active,true
PHONE-000239,+91-SYN-00000239,PERSON-001041,DEVICE-000239,SyntheticTel,2023-01-01,Inactive,true
PHONE-000240,+91-SYN-00000240,PERSON-001589,DEVICE-000240,SyntheticTel,2023-01-01,Active,true
PHONE-000241,+91-SYN-00000241,PERSON-001670,DEVICE-000241,SyntheticTel,2023-01-01,Active,true
PHONE-000242,+91-SYN-00000242,PERSON-002517,DEVICE-000242,SyntheticTel,2023-01-01,Active,true
PHONE-000243,+91-SYN-00000243,PERSON-002517,DEVICE-000243,SyntheticTel,2023-01-01,Inactive,true
PHONE-000244,+91-SYN-00000244,PERSON-002132,DEVICE-000244,SyntheticTel,2023-01-01,Active,true
PHONE-000245,+91-SYN-00000245,PERSON-002132,DEVICE-000245,SyntheticTel,2023-01-01,Active,true
