phone_id,phone_number,phone_type,owner_person_id,service_provider,status,case_id
PH00091,+91-9536886754,Landline,P00125,MetroWave Communications,Active,C0008
PH00092,+91-8050374864,Mobile,P00127,Vi,Active,C0008
PH00093,+91-7883051864,Landline,P00129,MetroWave Communications,Active,C0008
PH00094,+91-8472167539,Mobile,P00131,Airtel,Active,C0008
PH00095,+91-9054788305,Mobile,P00131,Jio,Inactive,C0008
PH00096,+91-7592768253,Mobile,P00132,Airtel,Active,C0008
PH00097,+91-9333838520,Landline,P00133,Airtel,Inactive,C0008
PH00098,+91-9942100987,Mobile,P00136,BSNL,Active,C0008
PH00099,+91-8896443276,Landline,P00138,Jio,Inactive,C0008
PH00100,+91-7754284541,Mobile,P00139,BSNL,Active,C0008
PH00101,+91-9683120824,Mobile,P00140,Jio,Active,C0008
PH00102,+91-8812790075,Mobile,P00141,Vi,Active,C0008
PH00103,+91-9082975735,Mobile,P00141,Airtel,Active,C0008
PH00104,+91-8874681666,Mobile,P00142,BSNL,Inactive,C0009
PH00105,+91-9990782382,Mobile,P00143,MetroWave Communications,Active,C0009
PH00106,+91-8871828248,Mobile,P00146,Jio,Inactive,C0009
PH00107,+91-9004409515,Mobile,P00147,BSNL,Active,C0009
PH00108,+91-8153814534,Mobile,P00148,Airtel,Active,C0009
PH00109,+91-8448278821,Mobile,P00149,Vi,Active,C0009
PH00110,+91-7506588321,Mobile,P00149,BSNL,Inactive,C0009
PH00111,+91-9520865201,Mobile,P00151,Vi,Inactive,C0010
PH00112,+91-7535790671,Mobile,P00152,BSNL,Active,C0010
PH00113,+91-9818871164,Mobile,P00153,BSNL,Active,C0010
PH00114,+91-9182545327,Mobile,P00155,BSNL,Active,C0010
PH00115,+91-8235073945,Landline,P00156,Airtel,Active,C0010
PH00116,+91-7607663347,Mobile,P00157,Jio,Active,C0010
PH00117,+91-8912114312,Mobile,P00159,BSNL,Active,C0010
PH00118,+91-8712235262,Mobile,P00161,MetroWave Communications,Active,C0011
PH00119,+91-9377441785,Mobile,P00161,MetroWave Communications,Active,C0011
PH00120,+91-9721901110,Landline,P00162,Airtel,Active,C0011
PH00121,+91-7763768198,Mobile,P00162,BSNL,Active,C0011
PH00122,+91-9535193089,Mobile,P00163,MetroWave Communications,Active,C0011
PH00123,+91-9588508525,Mobile,P00163,Airtel,Active,C0011
PH00124,+91-9495007612,Landline,P00165,BSNL,Active,C0011
PH00125,+91-9044100389,Mobile,P00165,Jio,Inactive,C0011
PH00126,+91-7537570531,Mobile,P00166,MetroWave Communications,Active,C0011
PH00127,+91-8802354259,Mobile,P00168,Airtel,Inactive,C0011
PH00128,+91-7609451885,Mobile,P00169,BSNL,Inactive,C0011
PH00129,+91-7456379183,Mobile,P00170,MetroWave Communications,Active,C0011
PH00130,+91-9707798722,Mobile,P00172,MetroWave Communications,Active,C0011
PH00131,+91-9554006373,Mobile,P00173,Vi,Active,C0011
PH00132,+91-9755601557,Mobile,P00174,BSNL,Active,C0011
PH00133,+91-8890792769,Mobile,P00176,MetroWave Communications,Active,C0011
PH00134,+91-7791495542,Mobile,P00177,BSNL,Active,C0011
PH00135,+91-9535161622,Mobile,P00178,BSNL,Active,C0011
PH00136,+91-8735356810,Mobile,P00178,MetroWave Communications,Active,C0011
PH00137,+91-7121271275,Mobile,P00179,BSNL,Active,C0011
PH00138,+91-8063052239,Mobile,P00180,MetroWave Communications,Active,C0011
PH00139,+91-7012437911,Mobile,P00010,Jio,Active,C0012
PH00140,+91-8042004670,Mobile,P00182,MetroWave Communications,Active,C0012
PH00141,+91-9805908081,Mobile,P00183,Jio,Active,C0012
PH00142,+91-7500639493,Mobile,P00184,BSNL,Active,C0012
PH00143,+91-9094018742,Mobile,P00185,BSNL,Inactive,C0012
PH00144,+91-8781711240,Mobile,P00186,Airtel,Inactive,C0012
PH00145,+91-8379566168,Mobile,P00188,Airtel,Active,C0012
PH00146,+91-9390351471,Mobile,P00189,BSNL,Active,C0012
PH00147,+91-7930973928,Mobile,P00190,BSNL,Active,C0012
PH00148,+91-9323469040,Mobile,P00192,Jio,Inactive,C0013
PH00149,+91-9182532572,Mobile,P00194,Jio,Active,C0013
PH00150,+91-9883776807,Mobile,P00195,Airtel,Inactive,C0013
PH00151,+91-9737085553,Mobile,P00196,MetroWave Communications,Active,C0014
PH00152,+91-9873861049,Mobile,P00197,Airtel,Active,C0014
PH00153,+91-9623754032,Mobile,P00198,Airtel,Active,C0014
PH00154,+91-7301168891,Mobile,P00199,BSNL,Active,C0014
PH00155,+91-7801182383,Mobile,P00200,BSNL,Active,C0014
PH00156,+91-8681497846,Mobile,P00202,BSNL,Active,C0014
PH00157,+91-9409414989,Mobile,P00203,Vi,Active,C0014
PH00158,+91-9549385374,Mobile,P00204,Vi,Active,C0014
PH00159,+91-8667979438,Mobile,P00205,MetroWave Communications,Active,C0014
PH00160,+91-7150335761,Mobile,P00206,Airtel,Active,C0014
PH00161,+91-9927561802,Mobile,P00209,BSNL,Inactive,C0014
PH00162,+91-7418323262,Mobile,P00210,Vi,Active,C0014
PH00163,+91-8614171132,Mobile,P00213,MetroWave Communications,Inactive,C0014
PH00164,+91-7545379263,Mobile,P00216,Airtel,Active,C0014
PH00165,+91-9420020343,Mobile,P00217,BSNL,Active,C0015
PH00166,+91-9631289591,Mobile,P00218,BSNL,Active,C0015
PH00167,+91-8127032357,Mobile,P00218,Jio,Active,C0015
PH00168,+91-9027346344,Mobile,P00219,Vi,Active,C0015
PH00169,+91-8658282001,Mobile,P00220,Jio,Active,C0015
PH00170,+91-8897437802,Mobile,P00221,BSNL,Active,C0015
PH00171,+91-7014625233,Mobile,P00223,Vi,Active,C0015
PH00172,+91-7599826920,Mobile,P00224,Jio,Active,C0015
PH00173,+91-9168989574,Mobile,P00226,Jio,Active,C0015
PH00174,+91-9764426327,Mobile,P00227,MetroWave Communications,Active,C0015
PH00175,+91-9055912855,Mobile,P00228,Vi,Active,C0015
PH00176,+91-7104268650,Mobile,P00229,BSNL,Active,C0015
PH00177,+91-7505516977,Mobile,P00229,Airtel,Active,C0015
PH00178,+91-7594984391,Mobile,P00230,Vi,Inactive,C0015
PH00179,+91-9523258371,Mobile,P00231,Vi,Active,C0015
PH00180,+91-7104964387,Mobile,P00232,Jio,Active,C0015
PH00181,+91-7942400650,Mobile,P00233,Jio,Active,C0015
PH00182,+91-7018609037,Mobile,P00234,Jio,Active,C0015
PH00183,+91-7718431394,Mobile,P00236,Airtel,Active,C0015
PH00184,+91-7413175702,Mobile,P00237,Jio,Active,C0015
PH00185,+91-7182058420,Mobile,P00239,BSNL,Active,C0016
PH00186,+91-9208497845,Mobile,P00240,Vi,Active,C0016
PH00187,+91-7739267871,Mobile,P00242,BSNL,Active,C0016
PH00188,+91-9039292957,Mobile,P00243,BSNL,Active,C0016
PH00189,+91-8570773123,Mobile,P00244,Jio,Active,C0016
PH00190,+91-9838478957,Mobile,P00245,Airtel,Active,C0016
PH00191,+91-9920209275,Mobile,P00247,Jio,Active,C0016
PH00192,+91-7628711219,Mobile,P00247,MetroWave Communications,Active,C0016
PH00193,+91-7784773523,Mobile,P00250,Jio,Active,C0016
PH00194,+91-8976308329,Landline,P00251,Jio,Active,C0016
PH00195,+91-8036751352,Mobile,P00252,Airtel,Inactive,C0016
PH00196,+91-8404278454,Mobile,P00253,Vi,Active,C0016
PH00197,+91-9928463622,Mobile,P00255,BSNL,Active,C0016
PH00198,+91-8485669039,Mobile,P00258,BSNL,Active,C0016
PH00199,+91-8678664147,Mobile,P00259,Airtel,Active,C0016
PH00200,+91-9738945901,Mobile,P00259,Jio,Active,C0016
PH00201,+91-9295745224,Mobile,P00260,Airtel,Active,C0016
PH00202,+91-7168041417,Mobile,P00262,BSNL,Inactive,C0016
PH00203,+91-8605721545,Mobile,P00263,Airtel,Active,C0016
PH00204,+91-9402439312,Landline,P00267,BSNL,Active,C0017
PH00205,+91-7335778729,Landline,P00268,Vi,Active,C0017
PH00206,+91-7384471588,Mobile,P00269,Airtel,Active,C0017
PH00207,+91-8065073188,Mobile,P00272,Airtel,Active,C0017
PH00208,+91-9051491208,Mobile,P00272,Jio,Active,C0017
PH00209,+91-9323292319,Mobile,P00273,Vi,Active,C0018
PH00210,+91-8300114309,Mobile,P00274,MetroWave Communications,Active,C0018
PH00211,+91-8653656966,Mobile,P00275,Airtel,Active,C0018
PH00212,+91-9168380378,Mobile,P00276,Jio,Active,C0018
PH00213,+91-8634403978,Mobile,P00276,Jio,Active,C0018
PH00214,+91-9620497922,Mobile,P00277,Jio,Active,C0018
PH00215,+91-8649531361,Mobile,P00279,Airtel,Inactive,C0018
PH00216,+91-8131083451,Mobile,P00280,BSNL,Active,C0018
PH00217,+91-9706864831,Mobile,P00281,Vi,Inactive,C0018
PH00218,+91-7461998037,Mobile,P00281,Airtel,Active,C0018
PH00219,+91-7707167115,Mobile,P00283,Vi,Active,C0018
PH00220,+91-8412612244,Mobile,P00285,Airtel,Active,C0018
PH00221,+91-9536452800,Mobile,P00286,Jio,Active,C0018
PH00222,+91-8555572926,Mobile,P00287,MetroWave Communications,Active,C0018
PH00223,+91-9722562190,Mobile,P00288,BSNL,Active,C0018
PH00224,+91-8367176678,Mobile,P00289,Jio,Active,C0018
PH00225,+91-7206216806,Mobile,P00290,Airtel,Active,C0018
PH00226,+91-7270513071,Mobile,P00291,Jio,Active,C0018
PH00227,+91-7727356779,Landline,P00295,BSNL,Active,C0019
PH00228,+91-8335440918,Mobile,P00295,BSNL,Active,C0019
PH00229,+91-8155563936,Mobile,P00296,Jio,Inactive,C0019
PH00230,+91-8552469911,Mobile,P00296,Jio,Active,C0019
PH00231,+91-8479610068,Mobile,P00297,BSNL,Active,C0019
PH00232,+91-9336015256,Mobile,P00299,BSNL,Active,C0019
PH00233,+91-9584438829,Landline,P00302,MetroWave Communications,Active,C0020
PH00234,+91-7791067502,Mobile,P00304,MetroWave Communications,Active,C0020
PH00235,+91-8011184285,Mobile,P00305,MetroWave Communications,Active,C0020
PH00236,+91-9427775971,Mobile,P00306,Jio,Active,C0020
PH00237,+91-8984942877,Mobile,P00307,MetroWave Communications,Active,C0020
PH00238,+91-7609510818,Mobile,P00308,Airtel,Inactive,C0020
PH00239,+91-9741144913,Mobile,P00309,Jio,Inactive,C0020
PH00240,+91-7336254725,Mobile,P00310,BSNL,Active,C0020
PH00241,+91-9948932468,Landline,P00311,Vi,Active,C0020
PH00242,+91-8937635402,Mobile,P00312,BSNL,Active,C0020
PH00243,+91-7506533494,Mobile,P00312,Jio,Active,C0020
PH00244,+91-9293908557,Mobile,P00313,Jio,Active,C0020
PH00245,+91-8988499569,Mobile,P00314,Jio,Inactive,C0020
PH00246,+91-9376817437,Mobile,P00315,Airtel,Active,C0020
PH00247,+91-8991733283,Mobile,P00315,BSNL,Active,C0020
PH00248,+91-9831468229,Mobile,P00316,Jio,Active,C0020
PH00249,+91-9243887576,Mobile,P00317,BSNL,Inactive,C0020
PH00250,+91-7090178975,Mobile,P00318,Airtel,Active,C0020
PH00251,+91-7437098884,Mobile,P00319,MetroWave Communications,Active,C0020
PH00252,+91-8087072532,Mobile,P00320,MetroWave Communications,Active,C0020
PH00253,+91-7990910819,Mobile,P00321,MetroWave Communications,Active,C0020
PH00254,+91-7435036542,Mobile,P00323,Vi,Active,C0020
PH00255,+91-9008938845,Mobile,P00325,Airtel,Active,C0020
PH00256,+91-9135824423,Mobile,P00327,Airtel,Active,C0020
PH00257,+91-9361315238,Mobile,P00328,Vi,Active,C0020
PH00258,+91-8376847976,Mobile,P00328,BSNL,Active,C0020
PH00259,+91-8442154635,Mobile,P00329,Jio,Active,C0020
PH00260,+91-8952452379,Mobile,P00329,Airtel,Inactive,C0020
PH00261,+91-7876287905,Mobile,P00331,Jio,Active,C0020
PH00262,+91-7699537815,Mobile,P00332,Vi,Active,C0020
PH00263,+91-7884673984,Mobile,P00333,Vi,Active,C0020
PH00264,+91-8362933253,Mobile,P00334,Vi,Active,C0020
PH00265,+91-8185322552,Mobile,P00335,Vi,Active,C0021
PH00266,+91-9586778206,Mobile,P00335,BSNL,Active,C0021
PH00267,+91-9893684280,Mobile,P00336,Vi,Active,C0021
PH00268,+91-8897103921,Landline,P00337,BSNL,Active,C0021
PH00269,+91-9556053462,Mobile,P00340,MetroWave Communications,Active,C0021
PH00270,+91-8501100667,Mobile,P00172,Vi,Active,C0022
PH00271,+91-8770064285,Mobile,P00341,Airtel,Active,C0022
PH00272,+91-8707307478,Mobile,P00342,BSNL,Active,C0022
PH00273,+91-7841918378,Landline,P00343,BSNL,Active,C0022
PH00274,+91-7871702169,Mobile,P00345,Airtel,Active,C0022
PH00275,+91-8282964432,Mobile,P00346,BSNL,Active,C0022
PH00276,+91-7736360570,Mobile,P00347,MetroWave Communications,Active,C0023
PH00277,+91-7768032946,Mobile,P00349,Jio,Active,C0024
PH00278,+91-9215304998,Landline,P00350,Jio,Active,C0024
PH00279,+91-7221417498,Mobile,P00351,Airtel,Inactive,C0024
PH00280,+91-7046222923,Mobile,P00353,Jio,Active,C0024
PH00281,+91-7183651274,Mobile,P00354,Airtel,Inactive,C0024
PH00282,+91-9368565519,Mobile,P00355,Jio,Active,C0024
PH00283,+91-9481495755,Mobile,P00356,MetroWave Communications,Active,C0024
PH00284,+91-8808280588,Mobile,P00358,Vi,Active,C0024
PH00285,+91-8890103369,Mobile,P00359,Airtel,Active,C0024
PH00286,+91-9082881043,Mobile,P00360,Airtel,Active,C0024
PH00287,+91-8038784719,Mobile,P00361,Airtel,Active,C0024
PH00288,+91-7205089631,Mobile,P00363,BSNL,Active,C0024
PH00289,+91-8844798994,Mobile,P00364,Vi,Inactive,C0024
PH00290,+91-8384843045,Mobile,P00365,BSNL,Active,C0024
PH00291,+91-7237999930,Mobile,P00366,Airtel,Active,C0024
PH00292,+91-8448122471,Mobile,P00367,BSNL,Inactive,C0024
PH00293,+91-7860193323,Mobile,P00368,MetroWave Communications,Active,C0024
PH00294,+91-9517019920,Mobile,P00369,BSNL,Active,C0024
PH00295,+91-7394208931,Mobile,P00370,Jio,Active,C0024
PH00296,+91-7935770465,Mobile,P00371,BSNL,Active,C0024
PH00297,+91-9731297097,Mobile,P00372,Airtel,Inactive,C0024
PH00298,+91-7025721699,Mobile,P00373,BSNL,Inactive,C0024
PH00299,+91-9055102561,Mobile,P00374,Vi,Active,C0025
PH00300,+91-8931395805,Mobile,P00380,Vi,Active,C0025
PH00301,+91-8396880497,Mobile,P00382,MetroWave Communications,Active,C0025
PH00302,+91-7668403122,Mobile,P00383,Jio,Inactive,C0025
PH00303,+91-9934584896,Landline,P00385,Jio,Active,C0025
PH00304,+91-7927662272,Mobile,P00386,Vi,Active,C0025
PH00305,+91-7985008747,Mobile,P00387,MetroWave Communications,Active,C0025
PH00306,+91-7601698972,Mobile,P00388,MetroWave Communications,Active,C0025
PH00307,+91-7868196201,Mobile,P00388,Vi,Active,C0025
PH00308,+91-8628658613,Mobile,P00389,Airtel,Inactive,C0026
PH00309,+91-8703461408,Mobile,P00391,MetroWave Communications,Active,C0026
PH00310,+91-7283303571,Mobile,P00392,MetroWave Communications,Active,C0027
PH00311,+91-8122528987,Mobile,P00394,BSNL,Active,C0027
PH00312,+91-8352893347,Mobile,P00396,Jio,Active,C0028
PH00313,+91-8404338616,Mobile,P00397,Vi,Active,C0028
PH00314,+91-7109138343,Mobile,P00398,Airtel,Active,C0028
PH00315,+91-8615373554,Mobile,P00399,BSNL,Active,C0028
PH00316,+91-7462975218,Mobile,P00399,Vi,Active,C0028
PH00317,+91-7350115563,Mobile,P00400,Jio,Active,C0028
PH00318,+91-7729879639,Mobile,P00401,Jio,Active,C0028
PH00319,+91-8675246315,Mobile,P00402,Vi,Active,C0029
PH00320,+91-9024296896,Mobile,P00404,Vi,Active,C0029
PH00321,+91-7005416180,Mobile,P00405,Jio,Active,C0029
PH00322,+91-8324975725,Mobile,P00405,MetroWave Communications,Active,C0029
PH00323,+91-7813933025,Mobile,P00406,Jio,Inactive,C0029
PH00324,+91-8090387489,Mobile,P00407,Jio,Active,C0029
PH00325,+91-8757578180,Mobile,P00408,MetroWave Communications,Active,C0029
PH00326,+91-8993443254,Mobile,P00409,BSNL,Active,C0029
PH00327,+91-9567996198,Mobile,P00410,MetroWave Communications,Active,C0029
PH00328,+91-7730468421,Mobile,P00411,MetroWave Communications,Active,C0029
PH00329,+91-8473244447,Mobile,P00412,Airtel,Active,C0029
PH00330,+91-9994521677,Mobile,P00414,MetroWave Communications,Active,C0029
PH00331,+91-8542084988,Mobile,P00415,BSNL,Active,C0029
PH00332,+91-8074971238,Mobile,P00416,Airtel,Active,C0029
PH00333,+91-9398339020,Mobile,P00417,Airtel,Active,C0029
PH00334,+91-7613445070,Mobile,P00419,MetroWave Communications,Active,C0029
PH00335,+91-7315017108,Mobile,P00420,Vi,Active,C0029
PH00336,+91-8109293810,Mobile,P00421,BSNL,Active,C0029
PH00337,+91-8754325145,Mobile,P00422,Airtel,Active,C0029
PH00338,+91-9520988965,Mobile,P00424,MetroWave Communications,Active,C0029
PH00339,+91-9388930306,Mobile,P00425,Vi,Active,C0029
PH00340,+91-7432278521,Mobile,P00426,BSNL,Active,C0029
PH00341,+91-7477169219,Mobile,P00426,BSNL,Active,C0029
PH00342,+91-8495310094,Mobile,P00430,BSNL,Active,C0029
PH00343,+91-8810185332,Mobile,P00431,BSNL,Active,C0029
PH00344,+91-9522733381,Mobile,P00432,BSNL,Active,C0029
PH00345,+91-9720254138,Mobile,P00433,Jio,Active,C0029
PH00346,+91-9203951124,Mobile,P00434,Jio,Active,C0029
PH00347,+91-9547359274,Mobile,P00436,Airtel,Inactive,C0029
PH00348,+91-9601900197,Mobile,P00436,Jio,Inactive,C0029
PH00349,+91-9420485300,Mobile,P00437,MetroWave Communications,Active,C0029
PH00350,+91-7092401663,Mobile,P00437,Jio,Active,C0029
PH00351,+91-8527288050,Mobile,P00439,MetroWave Communications,Active,C0029
PH00352,+91-7164558931,Mobile,P00441,Airtel,Active,C0029
PH00353,+91-7151148164,Mobile,P00442,MetroWave Communications,Active,C0029
PH00354,+91-7688262231,Mobile,P00442,BSNL,Inactive,C0029
PH00355,+91-8522578836,Mobile,P00443,BSNL,Inactive,C0029
PH00356,+91-7910438359,Mobile,P00447,BSNL,Active,C0029
PH00357,+91-8482974339,Mobile,P00447,Vi,Active,C0029
PH00358,+91-8221915158,Mobile,P00448,Jio,Active,C0029
PH00359,+91-9384390413,Landline,P00450,MetroWave Communications,Active,C0029
PH00360,+91-9581314654,Mobile,P00451,Airtel,Inactive,C0029
PH00361,+91-7403448571,Mobile,P00453,MetroWave Communications,Inactive,C0029
PH00362,+91-8593227462,Mobile,P00454,Jio,Inactive,C0029
PH00363,+91-9666030632,Landline,P00456,BSNL,Inactive,C0030
PH00364,+91-9372673593,Mobile,P00457,Vi,Active,C0030
PH00365,+91-8465657411,Mobile,P00458,Jio,Active,C0030
PH00366,+91-7718780310,Mobile,P00023,BSNL,Active,C0031
PH00367,+91-9802019239,Mobile,P00131,Airtel,Active,C0031
PH00368,+91-7050030629,Mobile,P00463,Jio,Active,C0031
PH00369,+91-7246615831,Mobile,P00464,Vi,Inactive,C0031
PH00370,+91-7542727383,Mobile,P00466,MetroWave Communications,Active,C0031
PH00371,+91-8124122142,Mobile,P00467,MetroWave Communications,Active,C0031
PH00372,+91-8822764304,Landline,P00468,Jio,Active,C0031
PH00373,+91-7091903580,Mobile,P00469,Airtel,Active,C0031
PH00374,+91-8565039731,Mobile,P00469,MetroWave Communications,Active,C0031
PH00375,+91-7549988686,Mobile,P00470,Vi,Active,C0031
PH00376,+91-8397254878,Mobile,P00471,Jio,Active,C0031
PH00377,+91-7613979560,Mobile,P00472,Vi,Active,C0031
PH00378,+91-7528092291,Mobile,P00473,Jio,Active,C0031
PH00379,+91-8990688148,Landline,P00473,MetroWave Communications,Active,C0031
PH00380,+91-7946387255,Mobile,P00474,Vi,Inactive,C0031
PH00381,+91-9141893400,Mobile,P00474,Airtel,Active,C0031
PH00382,+91-9993034161,Mobile,P00475,BSNL,Active,C0031
PH00383,+91-8684981929,Mobile,P00476,MetroWave Communications,Active,C0031
PH00384,+91-8393297702,Mobile,P00479,MetroWave Communications,Active,C0031
PH00385,+91-8229154180,Mobile,P00480,Jio,Active,C0031
PH00386,+91-7334382920,Landline,P00486,Jio,Active,C0032
PH00387,+91-7588113977,Mobile,P00487,Airtel,Active,C0032
PH00388,+91-8744937385,Mobile,P00489,MetroWave Communications,Active,C0032
PH00389,+91-8914621252,Mobile,P00490,Vi,Active,C0032
PH00390,+91-7058652479,Mobile,P00491,Vi,Active,C0032
PH00391,+91-9740260984,Mobile,P00494,MetroWave Communications,Active,C0034
PH00392,+91-8997220849,Mobile,P00496,Vi,Active,C0034
PH00393,+91-8183937092,Mobile,P00496,Airtel,Active,C0034
PH00394,+91-9438554797,Mobile,P00498,Vi,Active,C0034
PH00395,+91-8102916712,Landline,P00500,BSNL,Inactive,C0035
PH00396,+91-8371401071,Mobile,P00501,Vi,Active,C0035
PH00397,+91-7814335454,Mobile,P00501,Jio,Active,C0035
PH00398,+91-7189279998,Mobile,P00502,Airtel,Active,C0035
PH00399,+91-9611372537,Mobile,P00503,Vi,Active,C0035
PH00400,+91-9049070411,Mobile,P00504,BSNL,Active,C0035
PH00401,+91-7913582142,Mobile,P00505,Vi,Active,C0035
PH00402,+91-7516628908,Mobile,P00507,MetroWave Communications,Active,C0035
PH00403,+91-8131150749,Mobile,P00508,BSNL,Active,C0035
