evidence_id,evidence_type,title,source,collection_date,file_reference,hash,status,case_id
E00037,Identity,Identity Record for Diya Mishra,Case Records,2024-03-16,CASEFILE-E00037,SHA256_FB4423DCE25C9152,Verified,C0004
E00038,Identity,Identity Record for Nikhil Shetty,Case Records,2024-02-23,CASEFILE-E00038,SHA256_642EECC05B95EB05,Verified,C0004
E00039,OSINT,Alias Record for Aarav Kapoor,Field Collection,2024-05-15,CASEFILE-E00039,SHA256_85EAD898F9ED13A6,Verified,C0004
E00040,Identity,Identity Record for Mohit Khan,Field Collection,2024-05-27,CASEFILE-E00040,SHA256_4FF15F68A60BCE19,Verified,C0004
E00041,OSINT,Alias Record for Mohit Khan,Telecom Records,2024-06-08,CASEFILE-E00041,SHA256_B5C361FA01B2DF78,Verified,C0004
E00042,Identity,Identity Record for Sameer Shah,Telecom Records,2024-12-03,CASEFILE-E00042,SHA256_4BC83E8090A6C057,Review,C0004
E00043,Identity,Identity Record for Siddharth Singh,Case Records,2024-12-12,CASEFILE-E00043,SHA256_E39CB887B77DDC1F,Verified,C0004
E00044,OSINT,Alias Record for Yash Khan,Field Collection,2024-12-08,CASEFILE-E00044,SHA256_8C50CE9D9B5CABCE,Review,C0004
E00045,Vehicle,Vehicle Record - Avni Thakur,Telecom Records,2024-02-24,CASEFILE-E00045,SHA256_7679143069FDF123,Verified,C0004
E00046,Vehicle,Vehicle Record - Siddharth Jadhav,Field Collection,2024-08-28,CASEFILE-E00046,SHA256_ABD8AD88EAADA12C,Verified,C0004
E00047,Identity,Identity Record for Karan Verma,Case Records,2024-08-31,CASEFILE-E00047,SHA256_BAC88CF9070E5BC0,Review,C0005
E00048,Identity,Identity Record for Simran Mehta,Case Records,2024-08-20,CASEFILE-E00048,SHA256_EC9FB3ADCFD952CF,Verified,C0005
E00049,Identity,Identity Record for Raj Kulkarni,Field Collection,2024-08-26,CASEFILE-E00049,SHA256_52A3337630456DAF,Verified,C0005
E00050,Identity,Identity Record for Diya Patil,Case Records,2024-08-21,CASEFILE-E00050,SHA256_CD8104DD06765143,Verified,C0005
E00051,Identity,Identity Record for Harsh Sethi,Case Records,2024-08-10,CASEFILE-E00051,SHA256_887F00DF8A709F68,Review,C0006
E00052,Identity,Identity Record for Varun Patil,Field Collection,2024-06-05,CASEFILE-E00052,SHA256_9EFE28C26320B5AB,Verified,C0006
E00053,OSINT,Alias Record for Varun Patil,Case Records,2024-06-12,CASEFILE-E00053,SHA256_D3D067580F4CFDC3,Verified,C0006
E00054,Identity,Identity Record for Varun Rao,Case Records,2024-01-13,CASEFILE-E00054,SHA256_010CC65A022B7C74,Review,C0006
E00055,Identity,Identity Record for Pooja Nair,Financial Records,2024-05-10,CASEFILE-E00055,SHA256_5DB06EFFB6033862,Review,C0006
E00056,Identity,Identity Record for Pooja Nair,Financial Records,2024-03-29,CASEFILE-E00056,SHA256_43875D88029F0F8B,Verified,C0006
E00057,Identity,Identity Record for Aditya Iyer,Telecom Records,2024-03-12,CASEFILE-E00057,SHA256_F2895052519A2562,Verified,C0006
E00058,Identity,Identity Record for Kavya Kulkarni,Financial Records,2024-06-27,CASEFILE-E00058,SHA256_18737BB617C9E2D2,Review,C0006
E00059,Identity,Identity Record for Kavya Kulkarni,Field Collection,2024-08-07,CASEFILE-E00059,SHA256_DCB01EF9B7D271A0,Verified,C0006
E00060,Identity,Identity Record for Arnav Das,Telecom Records,2024-06-05,CASEFILE-E00060,SHA256_EFFD42CA2E7B4794,Verified,C0006
E00061,Identity,Identity Record for Harsh Saxena,Financial Records,2024-05-19,CASEFILE-E00061,SHA256_DF9D102761C35A9F,Verified,C0006
E00062,OSINT,Alias Record for Harsh Saxena,Telecom Records,2024-08-22,CASEFILE-E00062,SHA256_EF104F7BE0C64459,Verified,C0006
E00063,Identity,Identity Record for Manav Desai,Financial Records,2024-07-07,CASEFILE-E00063,SHA256_4D911708220CA317,Review,C0006
E00064,OSINT,Alias Record for Manav Desai,Field Collection,2024-07-23,CASEFILE-E00064,SHA256_8A7171503FDF8311,Verified,C0006
E00065,Identity,Identity Record for Karan Mehta,Field Collection,2024-11-24,CASEFILE-E00065,SHA256_BACA842D4F0129E0,Verified,C0006
E00066,Identity,Identity Record for Ishita Shah,Financial Records,2024-06-12,CASEFILE-E00066,SHA256_35A9DD1D81A8064D,Verified,C0006
E00067,Identity,Identity Record for Arjun Menon,Financial Records,2024-09-10,CASEFILE-E00067,SHA256_C7C49074B73FC3B3,Verified,C0006
E00068,Identity,Identity Record for Pranav Patil,Field Collection,2024-04-02,CASEFILE-E00068,SHA256_6843CA9761599CA1,Verified,C0006
E00069,Identity,Identity Record for Yamini Malhotra,Financial Records,2024-09-03,CASEFILE-E00069,SHA256_9EF499C9B839BACC,Verified,C0006
E00070,Identity,Identity Record for Mohit Verma,Financial Records,2024-06-17,CASEFILE-E00070,SHA256_8ED6575BE084C455,Verified,C0006
E00071,Identity,Identity Record for Tara Kapoor,Case Records,2024-01-24,CASEFILE-E00071,SHA256_D0225906DC40848B,Verified,C0006
E00072,Identity,Identity Record for Tara Khan,Field Collection,2024-03-13,CASEFILE-E00072,SHA256_3CD920ACA6D593A8,Verified,C0006
E00073,Identity,Identity Record for Tara Khan,Field Collection,2024-08-17,CASEFILE-E00073,SHA256_994B12EFB669E332,Verified,C0006
E00074,Identity,Identity Record for Sana Verma,Financial Records,2024-04-05,CASEFILE-E00074,SHA256_2152200D55519239,Verified,C0006
E00075,Identity,Identity Record for Simran Joshi,Financial Records,2024-03-27,CASEFILE-E00075,SHA256_5F4F1CDB08E50F93,Verified,C0006
E00076,Identity,Identity Record for Ishita Rao,Field Collection,2024-11-29,CASEFILE-E00076,SHA256_4B0ADAD7B7C275C9,Verified,C0006
E00077,Vehicle,Vehicle Record - Pooja Nair,Telecom Records,2024-10-09,CASEFILE-E00077,SHA256_91199F5FDCCE0CBB,Verified,C0006
E00078,Vehicle,Vehicle Record - Arjun Menon,Financial Records,2024-02-06,CASEFILE-E00078,SHA256_57EACAEAF81F20E0,Verified,C0006
E00079,Identity,Identity Record for Siddharth Gupta,Field Collection,2024-07-03,CASEFILE-E00079,SHA256_3C1A1DDC7A5BD5B5,Verified,C0007
E00080,Identity,Identity Record for Siddharth Gupta,Case Records,2024-07-22,CASEFILE-E00080,SHA256_4BD2D6BBC4B213DB,Review,C0007
E00081,Identity,Identity Record for Aditya Bansal,Financial Records,2024-04-23,CASEFILE-E00081,SHA256_D41828B4B8DFB939,Verified,C0007
E00082,Identity,Identity Record for Aditya Bansal,Financial Records,2024-06-13,CASEFILE-E00082,SHA256_4D0DBA7C2A7DEAB5,Verified,C0007
E00083,Identity,Identity Record for Varun Rao,Case Records,2024-03-28,CASEFILE-E00083,SHA256_4E0E01F199875B11,Verified,C0007
E00084,Identity,Identity Record for Aman Bansal,Case Records,2024-04-12,CASEFILE-E00084,SHA256_5751B4390D930F0E,Verified,C0007
E00085,Identity,Identity Record for Pooja Joshi,Financial Records,2024-03-31,CASEFILE-E00085,SHA256_D0A0E1744C287DAF,Review,C0007
E00086,Identity,Identity Record for Saurabh Naik,Field Collection,2024-06-26,CASEFILE-E00086,SHA256_42C08AF9F8B20A88,Review,C0008
E00087,OSINT,Alias Record for Akash Reddy,Financial Records,2024-03-04,CASEFILE-E00087,SHA256_A1BF3BA1C640CBC6,Verified,C0008
E00088,Identity,Identity Record for Pranav Thakur,Financial Records,2024-08-25,CASEFILE-E00088,SHA256_3161913D2A258D52,Verified,C0008
E00089,Identity,Identity Record for Isha Shah,Telecom Records,2024-03-10,CASEFILE-E00089,SHA256_A689F498353E0DCA,Verified,C0008
E00090,Identity,Identity Record for Aditi Reddy,Case Records,2024-06-27,CASEFILE-E00090,SHA256_C1F73E2DC38068B5,Review,C0008
E00091,Identity,Identity Record for Nisha Nair,Field Collection,2024-10-08,CASEFILE-E00091,SHA256_7E67F21B15B028B7,Verified,C0008
E00092,Identity,Identity Record for Dev Khan,Case Records,2024-05-27,CASEFILE-E00092,SHA256_CCC4A051F7AA4875,Verified,C0008
E00093,Identity,Identity Record for Arjun Thakur,Financial Records,2024-09-23,CASEFILE-E00093,SHA256_A6EEEA2EDC3B2679,Verified,C0008
E00094,Identity,Identity Record for Pranav Kulkarni,Telecom Records,2024-05-31,CASEFILE-E00094,SHA256_A8B06991A18A551E,Verified,C0008
E00095,Identity,Identity Record for Pallavi Khan,Financial Records,2024-09-20,CASEFILE-E00095,SHA256_00342858B0A42CAA,Review,C0008
E00096,Identity,Identity Record for Aman Kulkarni,Financial Records,2024-10-09,CASEFILE-E00096,SHA256_B312D4FA2783AD9C,Review,C0008
E00097,Vehicle,Vehicle Record - Aditi Reddy,Financial Records,2024-01-30,CASEFILE-E00097,SHA256_9F3254BC89E5A63F,Verified,C0008
E00098,Identity,Identity Record for Ishita Rao,Financial Records,2024-06-30,CASEFILE-E00098,SHA256_6AA90B58CFC1F1CB,Verified,C0009
E00099,Identity,Identity Record for Raj Pillai,Telecom Records,2024-07-24,CASEFILE-E00099,SHA256_9C01B8E605FC1792,Verified,C0009
E00100,Identity,Identity Record for Arjun Naik,Case Records,2024-08-20,CASEFILE-E00100,SHA256_D60D530668515CA2,Verified,C0009
E00101,Identity,Identity Record for Aanya Menon,Telecom Records,2024-07-08,CASEFILE-E00101,SHA256_005423929B74B4B4,Verified,C0009
E00102,Identity,Identity Record for Aanya Menon,Telecom Records,2024-08-10,CASEFILE-E00102,SHA256_25C80A8D6352ECDE,Verified,C0009
E00103,Identity,Identity Record for Arjun Chavan,Financial Records,2024-08-09,CASEFILE-E00103,SHA256_753C83CB7CF082A9,Verified,C0009
E00104,Identity,Identity Record for Aanya Jadhav,Financial Records,2024-08-03,CASEFILE-E00104,SHA256_18EAE3BAC6895E9B,Verified,C0009
E00105,Vehicle,Vehicle Record - Aanya Menon,Financial Records,2024-08-08,CASEFILE-E00105,SHA256_EB37FA8A94DB7FF8,Verified,C0009
E00106,Identity,Identity Record for Neha Chavan,Field Collection,2024-06-18,CASEFILE-E00106,SHA256_806017EA4D8EE384,Verified,C0010
E00107,Identity,Identity Record for Sameer Das,Field Collection,2024-05-02,CASEFILE-E00107,SHA256_4F88EA0A78595BFF,Verified,C0010
E00108,Identity,Identity Record for Varun Malhotra,Financial Records,2024-02-05,CASEFILE-E00108,SHA256_5CBF3D2C6D34F979,Verified,C0010
E00109,Identity,Identity Record for Pranav Malhotra,Telecom Records,2024-02-11,CASEFILE-E00109,SHA256_30F782203B620113,Verified,C0010
E00110,Identity,Identity Record for Mohit Kapoor,Field Collection,2024-02-07,CASEFILE-E00110,SHA256_53B2CA6D81D3270D,Review,C0010
E00111,OSINT,Alias Record for Mohit Kapoor,Telecom Records,2024-08-23,CASEFILE-E00111,SHA256_88120E16FF7F4745,Verified,C0010
E00112,Identity,Identity Record for Riya Sethi,Financial Records,2024-05-09,CASEFILE-E00112,SHA256_C48E8148117789E2,Review,C0010
E00113,Identity,Identity Record for Sneha Malhotra,Field Collection,2024-08-12,CASEFILE-E00113,SHA256_E085CE09EAEA40BA,Review,C0011
E00114,Identity,Identity Record for Sneha Malhotra,Field Collection,2024-07-25,CASEFILE-E00114,SHA256_78203948390F1283,Review,C0011
E00115,Identity,Identity Record for Rahul Reddy,Field Collection,2024-08-14,CASEFILE-E00115,SHA256_50A6A39A60B925CB,Review,C0011
E00116,Identity,Identity Record for Vivek Menon,Telecom Records,2024-07-22,CASEFILE-E00116,SHA256_426097A4BD0AA9F7,Review,C0011
E00117,Identity,Identity Record for Arjun Shetty,Case Records,2024-08-15,CASEFILE-E00117,SHA256_2F9E92F12E019285,Verified,C0011
E00118,Identity,Identity Record for Kiara Malhotra,Financial Records,2024-08-08,CASEFILE-E00118,SHA256_FC8379226AC41AF1,Verified,C0011
E00119,Identity,Identity Record for Arjun Malhotra,Case Records,2024-08-03,CASEFILE-E00119,SHA256_A63E413DFDE975DA,Verified,C0011
E00120,Identity,Identity Record for Vivek Bansal,Telecom Records,2024-07-28,CASEFILE-E00120,SHA256_C16B2F16861D3A49,Review,C0011
E00121,Identity,Identity Record for Vivek Bansal,Field Collection,2024-08-10,CASEFILE-E00121,SHA256_744BCD2B41CF7700,Verified,C0011
E00122,OSINT,Alias Record for Vivek Bansal,Field Collection,2024-08-11,CASEFILE-E00122,SHA256_E1738429CA44F79D,Verified,C0011
E00123,OSINT,Alias Record for Arnav Malhotra,Case Records,2024-08-31,CASEFILE-E00123,SHA256_8641D45BE2C28B56,Verified,C0011
E00124,Identity,Identity Record for Pallavi Naik,Field Collection,2024-07-29,CASEFILE-E00124,SHA256_A6BD5246A1272137,Verified,C0012
E00125,Identity,Identity Record for Nikhil Reddy,Financial Records,2024-01-20,CASEFILE-E00125,SHA256_E600BA99E381487C,Verified,C0012
E00126,Identity,Identity Record for Avni Nair,Financial Records,2024-07-11,CASEFILE-E00126,SHA256_1004F32D88B5D56A,Verified,C0012
E00127,Identity,Identity Record for Mohit Joshi,Case Records,2024-03-28,CASEFILE-E00127,SHA256_715F3E135AFBF382,Verified,C0012
E00128,Identity,Identity Record for Nisha Pillai,Field Collection,2024-10-20,CASEFILE-E00128,SHA256_C4986CB1DCE8298C,Verified,C0012
E00129,OSINT,Alias Record for Siddharth Menon,Telecom Records,2024-04-06,CASEFILE-E00129,SHA256_F5625E5329D1E172,Verified,C0012
E00130,Vehicle,Vehicle Record - Avni Nair,Field Collection,2024-01-18,CASEFILE-E00130,SHA256_035D222BD8E72EA6,Verified,C0012
E00131,Vehicle,Vehicle Record - Nisha Pillai,Financial Records,2024-09-22,CASEFILE-E00131,SHA256_210BC33ED632C49D,Verified,C0012
E00132,Identity,Identity Record for Karan Mehta,Financial Records,2024-04-10,CASEFILE-E00132,SHA256_854420559DA12AA0,Verified,C0013
E00133,Identity,Identity Record for Rahul Naik,Field Collection,2024-05-14,CASEFILE-E00133,SHA256_9571796E3654BDD5,Verified,C0013
E00134,OSINT,Alias Record for Rahul Naik,Field Collection,2024-06-25,CASEFILE-E00134,SHA256_504DE2E8D67F7A14,Verified,C0013
E00135,Identity,Identity Record for Manav Nair,Case Records,2024-03-28,CASEFILE-E00135,SHA256_FF79F31F058DA21E,Review,C0014
E00136,Identity,Identity Record for Nikhil Mehta,Field Collection,2024-04-01,CASEFILE-E00136,SHA256_3FC598B4A4191616,Verified,C0014
E00137,Identity,Identity Record for Nikhil Mehta,Field Collection,2024-05-13,CASEFILE-E00137,SHA256_59D8129D1D2F862E,Verified,C0014
E00138,Identity,Identity Record for Nikhil Mehta,Financial Records,2024-08-31,CASEFILE-E00138,SHA256_E039E72D3318FA63,Verified,C0014
E00139,Identity,Identity Record for Nikhil Mehta,Case Records,2024-06-19,CASEFILE-E00139,SHA256_61DD689E9A8929B7,Verified,C0014
E00140,Identity,Identity Record for Kiara Malhotra,Field Collection,2024-07-20,CASEFILE-E00140,SHA256_0FF7C40D7916BAEF,Verified,C0014
E00141,Identity,Identity Record for Pranav Joshi,Field Collection,2024-04-13,CASEFILE-E00141,SHA256_E1E89E246F0B23B5,Verified,C0014
E00142,Identity,Identity Record for Saurabh Menon,Financial Records,2024-08-27,CASEFILE-E00142,SHA256_0E623AE251BD690E,Verified,C0014
E00143,Identity,Identity Record for Saurabh Menon,Case Records,2024-08-16,CASEFILE-E00143,SHA256_CFAFDD2588D18FE5,Verified,C0014
E00144,Identity,Identity Record for Kavya Malhotra,Field Collection,2024-06-10,CASEFILE-E00144,SHA256_C960A0D0713BA1E3,Verified,C0014
E00145,Identity,Identity Record for Akash Desai,Field Collection,2024-03-30,CASEFILE-E00145,SHA256_9390A88028126674,Verified,C0014
E00146,Identity,Identity Record for Rohan Shetty,Financial Records,2024-08-14,CASEFILE-E00146,SHA256_7EB190E4EF777AEB,Verified,C0014
E00147,OSINT,Alias Record for Aditya Naik,Case Records,2024-03-10,CASEFILE-E00147,SHA256_3B1A98069BF80CC0,Verified,C0014
E00148,Identity,Identity Record for Pranav Ghosh,Telecom Records,2024-07-04,CASEFILE-E00148,SHA256_4504BFBC5F96B4DF,Verified,C0014
E00149,Vehicle,Vehicle Record - Nikhil Mehta,Telecom Records,2024-04-04,CASEFILE-E00149,SHA256_3777B176413FF3B0,Verified,C0014
E00150,Vehicle,Vehicle Record - Kiara Malhotra,Field Collection,2024-04-15,CASEFILE-E00150,SHA256_017A28A9095ECC9A,Review,C0014
E00151,Vehicle,Vehicle Record - Meera Das,Case Records,2024-04-27,CASEFILE-E00151,SHA256_E183080F2CA66923,Verified,C0014
E00152,Identity,Identity Record for Mahi Kapoor,Case Records,2024-08-28,CASEFILE-E00152,SHA256_97AA197D59B2B0B1,Verified,C0015
E00153,Identity,Identity Record for Siddharth Thakur,Telecom Records,2024-07-23,CASEFILE-E00153,SHA256_7AAB992F8C7C406B,Verified,C0015
E00154,Identity,Identity Record for Pranav Shetty,Telecom Records,2024-08-05,CASEFILE-E00154,SHA256_4906296806CB252D,Verified,C0015
E00155,Identity,Identity Record for Karan Mehta,Telecom Records,2024-08-21,CASEFILE-E00155,SHA256_CD75E1E4302FFA43,Verified,C0015
E00156,Identity,Identity Record for Karan Mehta,Telecom Records,2024-08-14,CASEFILE-E00156,SHA256_ECBEC1821898049B,Review,C0015
E00157,Identity,Identity Record for Mahi Rao,Telecom Records,2024-08-21,CASEFILE-E00157,SHA256_634D9544E1E81E54,Verified,C0015
E00158,Identity,Identity Record for Sana Desai,Telecom Records,2024-07-25,CASEFILE-E00158,SHA256_0C5853263A83FACC,Verified,C0015
E00159,Vehicle,Vehicle Record - Manav Menon,Telecom Records,2024-08-26,CASEFILE-E00159,SHA256_CAA1F9C2BF85D129,Verified,C0015
E00160,Vehicle,Vehicle Record - Anushka Patil,Field Collection,2024-08-06,CASEFILE-E00160,SHA256_D888FDE9E2BD9640,Review,C0015
E00161,Vehicle,Vehicle Record - Sana Desai,Case Records,2024-07-23,CASEFILE-E00161,SHA256_FB8D670B97ED7F85,Verified,C0015
E00162,Identity,Identity Record for Rahul Singh,Telecom Records,2024-01-21,CASEFILE-E00162,SHA256_B9CEA18C33E330E2,Verified,C0016
E00163,Identity,Identity Record for Akash Mehta,Telecom Records,2024-03-21,CASEFILE-E00163,SHA256_7021F31447F903B8,Verified,C0016
E00164,OSINT,Alias Record for Akash Mehta,Financial Records,2024-10-07,CASEFILE-E00164,SHA256_083959C11D9A5873,Verified,C0016
E00165,OSINT,Alias Record for Siddharth Bansal,Financial Records,2024-03-31,CASEFILE-E00165,SHA256_A03FB0D9CC517FFC,Verified,C0016
E00166,Identity,Identity Record for Yash Menon,Telecom Records,2024-02-27,CASEFILE-E00166,SHA256_439792013F19E1FA,Verified,C0016
E00167,Identity,Identity Record for Trisha Singh,Case Records,2024-03-26,CASEFILE-E00167,SHA256_AA24350086BFAD85,Verified,C0016
E00168,Identity,Identity Record for Yamini Singh,Field Collection,2024-07-16,CASEFILE-E00168,SHA256_A59F4AE64B9E7683,Verified,C0016
E00169,OSINT,Alias Record for Avni Kulkarni,Financial Records,2024-03-01,CASEFILE-E00169,SHA256_06EE16E70531942A,Verified,C0016
E00170,Identity,Identity Record for Pooja Nair,Field Collection,2024-09-22,CASEFILE-E00170,SHA256_28814FEC45CED97A,Review,C0016
E00171,Identity,Identity Record for Rhea Saxena,Case Records,2024-04-20,CASEFILE-E00171,SHA256_B25225F2E4C18DDD,Verified,C0016
E00172,Identity,Identity Record for Pallavi Mishra,Financial Records,2024-12-18,CASEFILE-E00172,SHA256_78A491FEB2936293,Verified,C0016
E00173,Identity,Identity Record for Vanya Jadhav,Field Collection,2024-09-11,CASEFILE-E00173,SHA256_633E636563257D85,Verified,C0016
E00174,Identity,Identity Record for Arnav Thakur,Field Collection,2024-03-13,CASEFILE-E00174,SHA256_725AD236B4CD5785,Verified,C0016
E00175,Identity,Identity Record for Saurabh Thakur,Field Collection,2024-02-13,CASEFILE-E00175,SHA256_70FF93C4288E4958,Verified,C0016
E00176,Identity,Identity Record for Saurabh Thakur,Field Collection,2024-12-07,CASEFILE-E00176,SHA256_5C9AB4BC0D35295E,Review,C0016
E00177,Identity,Identity Record for Karan Kapoor,Field Collection,2024-01-18,CASEFILE-E00177,SHA256_215DB72562CD6411,Verified,C0016
E00178,Vehicle,Vehicle Record - Rahul Singh,Telecom Records,2024-09-29,CASEFILE-E00178,SHA256_DE2E1993D2B0CFB9,Verified,C0016
E00179,Identity,Identity Record for Zoya Reddy,Case Records,2024-03-30,CASEFILE-E00179,SHA256_74BE17CB18D28C23,Review,C0017
E00180,Identity,Identity Record for Kunal Thakur,Financial Records,2024-03-25,CASEFILE-E00180,SHA256_B42033B477D218C7,Review,C0017
E00181,OSINT,Alias Record for Kunal Thakur,Telecom Records,2024-02-06,CASEFILE-E00181,SHA256_4FEF16336FBB5F40,Verified,C0017
E00182,Identity,Identity Record for Yamini Shetty,Financial Records,2024-06-20,CASEFILE-E00182,SHA256_AF1385C30EEDE4BC,Verified,C0017
E00183,Identity,Identity Record for Yamini Shetty,Case Records,2024-11-08,CASEFILE-E00183,SHA256_48E5188ACABF35B5,Review,C0017
E00184,OSINT,Alias Record for Vivek Saxena,Case Records,2024-08-21,CASEFILE-E00184,SHA256_0891414E36C0A89C,Verified,C0017
E00185,Identity,Identity Record for Avni Singh,Field Collection,2024-08-08,CASEFILE-E00185,SHA256_4A0A0BB0654902D7,Verified,C0017
E00186,Identity,Identity Record for Nikhil Bhat,Case Records,2024-12-20,CASEFILE-E00186,SHA256_4AEBD0A344D162D7,Review,C0017
E00187,Identity,Identity Record for Kiara Joshi,Financial Records,2024-04-07,CASEFILE-E00187,SHA256_1B7B91A02DA8B06F,Verified,C0018
E00188,Identity,Identity Record for Pallavi Kapoor,Case Records,2024-08-27,CASEFILE-E00188,SHA256_22678D553E66EE7C,Verified,C0018
E00189,Identity,Identity Record for Karan Nair,Financial Records,2024-06-12,CASEFILE-E00189,SHA256_29E5809BECE293B3,Review,C0018
E00190,Identity,Identity Record for Aman Kulkarni,Telecom Records,2024-08-23,CASEFILE-E00190,SHA256_3315F9225D368B94,Verified,C0018
E00191,Identity,Identity Record for Aman Kulkarni,Financial Records,2024-05-12,CASEFILE-E00191,SHA256_A9F6D5C510E0FD47,Review,C0018
E00192,Identity,Identity Record for Siddharth Bansal,Financial Records,2024-06-10,CASEFILE-E00192,SHA256_0711CF0DCF6F854B,Review,C0018
E00193,Identity,Identity Record for Yamini Nair,Field Collection,2024-04-09,CASEFILE-E00193,SHA256_24C46D71688ADE8C,Verified,C0018
