account_id,account_number,account_type,bank_name,holder_person_id,holder_organization_id,ifsc,status,case_id
ACC00098,2191143127080,Savings,Pioneer Urban Bank,P00180,,HUBK0437071,Active,C0011
ACC00099,718101784110,Savings,Pioneer Urban Bank,P00007,,HUBK0823626,Active,C0012
ACC00100,941766685720,Current,Harbor Union Bank,P00184,,HUBK0617928,Active,C0012
ACC00101,209922187691,Savings,Pioneer Urban Bank,P00185,,HUBK0329992,Active,C0012
ACC00102,85866971185733,Savings,Harbor Union Bank,P00187,,HUBK0374591,Active,C0012
ACC00103,4533150541350,Current,Pioneer Urban Bank,P00190,,HUBK0108503,Active,C0012
ACC00104,870394398747,Current,Riverview Commercial Bank,P00192,,HUBK0236888,Active,C0013
ACC00105,486528924167,Savings,Summit Cooperative Bank,P00193,,HUBK0425810,Active,C0013
ACC00106,461803817842072,Savings,Summit Cooperative Bank,P00196,,HUBK0386079,Active,C0014
ACC00107,286606607475858,Savings,Riverview Commercial Bank,P00197,,HUBK0242493,Active,C0014
ACC00108,614356859626046,Savings,Summit Cooperative Bank,P00198,,HUBK0256079,Active,C0014
ACC00109,485389872233449,Current,Harbor Union Bank,P00199,,HUBK0218240,Inactive,C0014
ACC00110,849758179107,Current,Pioneer Urban Bank,P00200,,HUBK0363226,Active,C0014
ACC00111,973109579408645,Savings,Pioneer Urban Bank,P00201,,HUBK0078630,Active,C0014
ACC00112,5898515704215,Savings,Evergreen Finance Bank,P00202,,HUBK0990717,Active,C0014
ACC00113,953615574697573,Savings,Riverview Commercial Bank,P00203,,HUBK0251473,Active,C0014
ACC00114,92636049808567,Current,Riverview Commercial Bank,P00205,,HUBK0431474,Active,C0014
ACC00115,1392061542293511,Current,Evergreen Finance Bank,P00207,,HUBK0666289,Active,C0014
ACC00116,151287267715,Savings,Riverview Commercial Bank,P00208,,HUBK0792260,Active,C0014
ACC00117,69914261533672,Savings,Riverview Commercial Bank,P00209,,HUBK0933277,Active,C0014
ACC00118,2243074977142630,Savings,Summit Cooperative Bank,P00210,,HUBK0479722,Inactive,C0014
ACC00119,380231901333,Savings,Harbor Union Bank,P00211,,HUBK0674747,Active,C0014
ACC00120,14668670137,Savings,Evergreen Finance Bank,P00212,,HUBK0530340,Active,C0014
ACC00121,103227665068,Savings,Pioneer Urban Bank,P00213,,HUBK0117583,Active,C0014
ACC00122,889793566905181,Current,Harbor Union Bank,P00214,,HUBK0147989,Active,C0014
ACC00123,604099321090,Savings,Pioneer Urban Bank,P00215,,HUBK0248052,Active,C0014
ACC00124,3808766801030,Current,Harbor Union Bank,P00216,,HUBK0063847,Active,C0014
ACC00125,26427078252782,Current,Riverview Commercial Bank,P00217,,HUBK0460906,Active,C0015
ACC00126,3229840887737052,Savings,Riverview Commercial Bank,P00219,,HUBK0053915,Active,C0015
ACC00127,975700573329,Savings,Riverview Commercial Bank,P00220,,HUBK0945745,Active,C0015
ACC00128,5146606638225,Savings,Evergreen Finance Bank,P00221,,HUBK0385716,Active,C0015
ACC00129,9898588793880211,Current,Pioneer Urban Bank,P00222,,HUBK0528138,Active,C0015
ACC00130,673075005792,Current,Evergreen Finance Bank,P00224,,HUBK0826510,Active,C0015
ACC00131,496632359261,Savings,Evergreen Finance Bank,P00225,,HUBK0281842,Active,C0015
ACC00132,8738608219477251,Savings,Pioneer Urban Bank,P00226,,HUBK0013410,Active,C0015
ACC00133,682468585168,Savings,Summit Cooperative Bank,P00227,,HUBK0465039,Active,C0015
ACC00134,1491092702451,Savings,Summit Cooperative Bank,P00228,,HUBK0035341,Active,C0015
ACC00135,7239453526917,Current,Harbor Union Bank,P00229,,HUBK0616554,Active,C0015
ACC00136,506173828597,Savings,Riverview Commercial Bank,P00230,,HUBK0505215,Active,C0015
ACC00137,5602717033306,Current,Harbor Union Bank,P00232,,HUBK0523038,Inactive,C0015
ACC00138,9192338938445,Savings,Evergreen Finance Bank,P00233,,HUBK0737837,Active,C0015
ACC00139,56087677444,Savings,Harbor Union Bank,P00238,,HUBK0068703,Active,C0015
ACC00140,7691966333699,Current,Harbor Union Bank,P00239,,HUBK0614271,Active,C0016
ACC00141,726982623481070,Savings,Harbor Union Bank,P00240,,HUBK0067889,Active,C0016
ACC00142,7723448354742858,Savings,Pioneer Urban Bank,P00241,,HUBK0276510,Active,C0016
ACC00143,860160129456164,Current,Pioneer Urban Bank,P00242,,HUBK0370892,Active,C0016
ACC00144,85439933108371,Current,Summit Cooperative Bank,P00244,,HUBK0622766,Active,C0016
ACC00145,234251242732130,Savings,Riverview Commercial Bank,P00245,,HUBK0834975,Active,C0016
ACC00146,69312765955026,Savings,Riverview Commercial Bank,P00246,,HUBK0222871,Active,C0016
ACC00147,1854442390278,Savings,Pioneer Urban Bank,P00247,,HUBK0430449,Active,C0016
ACC00148,327743225990,Savings,Cedar National Bank,P00248,,HUBK0553035,Active,C0016
ACC00149,769009072774,Current,Riverview Commercial Bank,P00250,,HUBK0237651,Active,C0016
ACC00150,5651522358800,Savings,Summit Cooperative Bank,P00252,,HUBK0242608,Active,C0016
ACC00151,7349493097176,Savings,Pioneer Urban Bank,P00253,,HUBK0949211,Active,C0016
ACC00152,643026345782,Savings,Pioneer Urban Bank,P00254,,HUBK0757881,Active,C0016
ACC00153,695319594224358,Savings,Riverview Commercial Bank,P00255,,HUBK0821946,Active,C0016
ACC00154,21527581027328,Current,Riverview Commercial Bank,P00256,,HUBK0868312,Active,C0016
ACC00155,6192495348988,Savings,Harbor Union Bank,P00258,,HUBK0319086,Active,C0016
ACC00156,3524449138,Current,Pioneer Urban Bank,P00260,,HUBK0434030,Active,C0016
ACC00157,9146706146021334,Current,Riverview Commercial Bank,P00261,,HUBK0166727,Active,C0016
ACC00158,934886626573376,Current,Summit Cooperative Bank,P00262,,HUBK0984145,Inactive,C0016
ACC00159,46348424868739,Current,Cedar National Bank,P00263,,HUBK0631884,Active,C0016
ACC00160,10208097522439,Savings,Evergreen Finance Bank,P00266,,HUBK0516538,Active,C0017
ACC00161,191032523497,Current,Harbor Union Bank,P00267,,HUBK0141448,Active,C0017
ACC00162,5449381697494762,Savings,Cedar National Bank,P00268,,HUBK0132304,Active,C0017
ACC00163,701387380119536,Savings,Cedar National Bank,P00270,,HUBK0610071,Active,C0017
ACC00164,4543677794048,Current,Summit Cooperative Bank,P00272,,HUBK0287549,Inactive,C0017
ACC00165,6671124584784641,Current,Pioneer Urban Bank,P00277,,HUBK0261358,Active,C0018
ACC00166,964637095621298,Savings,Riverview Commercial Bank,P00280,,HUBK0172851,Active,C0018
ACC00167,780332655032611,Savings,Harbor Union Bank,P00281,,HUBK0696641,Active,C0018
ACC00168,59500673415641,Savings,Evergreen Finance Bank,P00282,,HUBK0105294,Active,C0018
ACC00169,69377360870191,Savings,Cedar National Bank,P00284,,HUBK0406544,Active,C0018
ACC00170,51787733452209,Current,Cedar National Bank,P00286,,HUBK0933992,Active,C0018
ACC00171,836817333590823,Current,Harbor Union Bank,P00288,,HUBK0666274,Active,C0018
ACC00172,2022071787424,Current,Harbor Union Bank,P00289,,HUBK0941328,Active,C0018
ACC00173,1980948971373698,Current,Riverview Commercial Bank,P00291,,HUBK0195234,Active,C0018
ACC00174,6330359012655576,Savings,Summit Cooperative Bank,P00294,,HUBK0587402,Inactive,C0019
ACC00175,4949658800715539,Current,Summit Cooperative Bank,P00295,,HUBK0007631,Active,C0019
ACC00176,872939917867,Savings,Harbor Union Bank,P00296,,HUBK0264489,Active,C0019
ACC00177,3681648200148,Current,Evergreen Finance Bank,P00297,,HUBK0181675,Active,C0019
ACC00178,319567474222364,Savings,Pioneer Urban Bank,P00298,,HUBK0150279,Active,C0019
ACC00179,460251697853946,Current,Harbor Union Bank,P00299,,HUBK0088607,Active,C0019
ACC00180,6854243804285,Savings,Harbor Union Bank,P00302,,HUBK0332399,Active,C0020
ACC00181,4323270732098568,Current,Harbor Union Bank,P00303,,HUBK0815234,Active,C0020
ACC00182,34769588748614,Savings,Cedar National Bank,P00305,,HUBK0058853,Active,C0020
ACC00183,449925094899,Current,Harbor Union Bank,P00306,,HUBK0817100,Active,C0020
ACC00184,436133653840,Savings,Summit Cooperative Bank,P00307,,HUBK0391699,Active,C0020
ACC00185,457284086296,Current,Cedar National Bank,P00308,,HUBK0745508,Active,C0020
ACC00186,805930678750,Savings,Evergreen Finance Bank,P00311,,HUBK0310247,Inactive,C0020
ACC00187,489099059150,Current,Pioneer Urban Bank,P00312,,HUBK0161951,Active,C0020
ACC00188,21325264710546,Savings,Pioneer Urban Bank,P00313,,HUBK0265544,Active,C0020
ACC00189,8135999534457,Savings,Evergreen Finance Bank,P00315,,HUBK0824384,Active,C0020
ACC00190,276871568317,Current,Riverview Commercial Bank,P00316,,HUBK0958695,Inactive,C0020
ACC00191,732068202973,Savings,Riverview Commercial Bank,P00317,,HUBK0061437,Inactive,C0020
ACC00192,319024253317,Savings,Cedar National Bank,P00319,,HUBK0080944,Active,C0020
ACC00193,8202395335063,Current,Cedar National Bank,P00320,,HUBK0724425,Active,C0020
ACC00194,3224296563942217,Savings,Riverview Commercial Bank,P00322,,HUBK0661790,Active,C0020
ACC00195,745297352197,Savings,Pioneer Urban Bank,P00324,,HUBK0572341,Active,C0020
ACC00196,40288477768027,Current,Harbor Union Bank,P00326,,HUBK0650261,Active,C0020
ACC00197,883797281462694,Current,Cedar National Bank,P00328,,HUBK0315270,Active,C0020
ACC00198,406029267354933,Current,Evergreen Finance Bank,P00329,,HUBK0159850,Active,C0020
ACC00199,11230634574428,Current,Cedar National Bank,P00330,,HUBK0115371,Active,C0020
ACC00200,978471325928,Current,Riverview Commercial Bank,P00333,,HUBK0127475,Active,C0020
ACC00201,439493491214,Savings,Summit Cooperative Bank,P00336,,HUBK0546721,Active,C0021
ACC00202,492899847966,Savings,Cedar National Bank,P00337,,HUBK0644745,Active,C0021
ACC00203,50709781252607,Current,Cedar National Bank,P00338,,HUBK0398459,Inactive,C0021
ACC00204,313697119099368,Current,Cedar National Bank,P00339,,HUBK0817531,Inactive,C0021
ACC00205,73040105367021,Current,Pioneer Urban Bank,P00341,,HUBK0996411,Active,C0022
ACC00206,265232399016480,Current,Cedar National Bank,P00345,,HUBK0209943,Active,C0022
ACC00207,702868366836707,Savings,Harbor Union Bank,P00347,,HUBK0707248,Active,C0023
ACC00208,16114192142595,Savings,Cedar National Bank,P00348,,HUBK0448162,Active,C0023
ACC00209,4853650500381,Savings,Harbor Union Bank,P00349,,HUBK0311536,Active,C0024
ACC00210,507560550437048,Savings,Riverview Commercial Bank,P00350,,HUBK0651032,Active,C0024
ACC00211,293025556339021,Current,Summit Cooperative Bank,P00351,,HUBK0579993,Active,C0024
ACC00212,985707835378,Savings,Summit Cooperative Bank,P00352,,HUBK0933227,Active,C0024
ACC00213,3614211027566,Current,Pioneer Urban Bank,P00353,,HUBK0534262,Active,C0024
ACC00214,3499140029244,Savings,Riverview Commercial Bank,P00355,,HUBK0557696,Active,C0024
ACC00215,6384470571550,Savings,Summit Cooperative Bank,P00357,,HUBK0630943,Active,C0024
ACC00216,6380413952702,Savings,Evergreen Finance Bank,P00359,,HUBK0459182,Active,C0024
ACC00217,4536135528198,Savings,Summit Cooperative Bank,P00362,,HUBK0444755,Active,C0024
ACC00218,720570048980585,Current,Evergreen Finance Bank,P00366,,HUBK0774251,Active,C0024
ACC00219,6278629798953878,Savings,Pioneer Urban Bank,P00368,,HUBK0012229,Active,C0024
ACC00220,5632602128917,Current,Harbor Union Bank,P00370,,HUBK0293721,Active,C0024
ACC00221,762995640504,Current,Pioneer Urban Bank,P00375,,HUBK0970139,Active,C0025
ACC00222,9475900425105,Savings,Evergreen Finance Bank,P00376,,HUBK0435377,Active,C0025
ACC00223,379186823772491,Current,Pioneer Urban Bank,P00378,,HUBK0573607,Active,C0025
ACC00224,34685039832654,Savings,Pioneer Urban Bank,P00379,,HUBK0481335,Active,C0025
ACC00225,9484274649517,Savings,Summit Cooperative Bank,P00380,,HUBK0373191,Active,C0025
ACC00226,656250877622280,Savings,Riverview Commercial Bank,P00381,,HUBK0419707,Inactive,C0025
ACC00227,7073153090581994,Savings,Summit Cooperative Bank,P00382,,HUBK0982886,Active,C0025
ACC00228,6132741278156839,Savings,Riverview Commercial Bank,P00384,,HUBK0956854,Active,C0025
ACC00229,5053756314970638,Current,Harbor Union Bank,,O0013,HUBK0586215,Active,C0025
ACC00230,4059632265607,Current,Summit Cooperative Bank,P00276,,HUBK0310172,Active,C0026
ACC00231,2493128300157,Savings,Evergreen Finance Bank,P00389,,HUBK0233423,Inactive,C0026
ACC00232,5299036362261,Current,Cedar National Bank,P00392,,HUBK0664776,Active,C0027
ACC00233,8329649933318,Current,Riverview Commercial Bank,P00393,,HUBK0481850,Inactive,C0027
ACC00234,551864560882,Savings,Summit Cooperative Bank,P00395,,HUBK0522320,Active,C0028
ACC00235,10448666943805,Savings,Riverview Commercial Bank,P00396,,HUBK0958626,Active,C0028
ACC00236,56696529227027,Current,Summit Cooperative Bank,P00398,,HUBK0527538,Active,C0028
ACC00237,590034962650923,Current,Riverview Commercial Bank,P00399,,HUBK0183784,Active,C0028
ACC00238,463964592285,Savings,Cedar National Bank,P00400,,HUBK0243030,Active,C0028
ACC00239,534173832741321,Current,Evergreen Finance Bank,P00401,,HUBK0526794,Active,C0028
ACC00240,879095985227,Savings,Summit Cooperative Bank,,O0015,HUBK0930067,Active,C0028
ACC00241,6361522316125497,Savings,Cedar National Bank,P00406,,HUBK0326797,Active,C0029
ACC00242,81484780045734,Savings,Cedar National Bank,P00409,,HUBK0103195,Active,C0029
ACC00243,329353065202252,Savings,Summit Cooperative Bank,P00410,,HUBK0734362,Active,C0029
ACC00244,4358552888000,Current,Pioneer Urban Bank,P00412,,HUBK0690373,Active,C0029
ACC00245,88854546037504,Savings,Cedar National Bank,P00415,,HUBK0631749,Active,C0029
ACC00246,529571596258454,Savings,Pioneer Urban Bank,P00417,,HUBK0334820,Active,C0029
ACC00247,9412914369445,Current,Cedar National Bank,P00418,,HUBK0520327,Active,C0029
ACC00248,80572184846338,Savings,Harbor Union Bank,P00425,,HUBK0105586,Active,C0029
ACC00249,545468479526119,Current,Summit Cooperative Bank,P00429,,HUBK0545522,Active,C0029
ACC00250,478439481704929,Current,Pioneer Urban Bank,P00432,,HUBK0849399,Active,C0029
ACC00251,88819046410668,Current,Summit Cooperative Bank,P00436,,HUBK0387699,Active,C0029
ACC00252,5214028852948,Savings,Cedar National Bank,P00437,,HUBK0978421,Active,C0029
ACC00253,109338952806299,Current,Pioneer Urban Bank,P00440,,HUBK0157706,Active,C0029
ACC00254,13219891945722,Current,Harbor Union Bank,P00441,,HUBK0443570,Inactive,C0029
ACC00255,5726613438619,Current,Pioneer Urban Bank,P00442,,HUBK0552663,Active,C0029
ACC00256,54868087472701,Current,Summit Cooperative Bank,P00443,,HUBK0051470,Active,C0029
ACC00257,9894921293819391,Savings,Evergreen Finance Bank,P00444,,HUBK0645742,Active,C0029
ACC00258,12970929256,Savings,Summit Cooperative Bank,P00446,,HUBK0518774,Active,C0029
ACC00259,24142421474269,Current,Evergreen Finance Bank,P00447,,HUBK0211667,Active,C0029
ACC00260,887506881578323,Current,Riverview Commercial Bank,P00451,,HUBK0301196,Active,C0029
ACC00261,8453771131892121,Savings,Riverview Commercial Bank,P00452,,HUBK0206485,Active,C0029
ACC00262,20295065269054,Savings,Evergreen Finance Bank,P00454,,HUBK0736829,Active,C0029
ACC00263,891898916682,Current,Cedar National Bank,P00457,,HUBK0729161,Active,C0030
ACC00264,959220316863187,Current,Summit Cooperative Bank,P00458,,HUBK0204524,Active,C0030
ACC00265,195632954579238,Savings,Summit Cooperative Bank,P00460,,HUBK0745870,Active,C0031
ACC00266,4438530018847379,Current,Cedar National Bank,P00462,,HUBK0243890,Active,C0031
ACC00267,225033302655705,Current,Cedar National Bank,P00467,,HUBK0873508,Active,C0031
ACC00268,149801926622,Current,Evergreen Finance Bank,P00471,,HUBK0083008,Active,C0031
ACC00269,5312131910810335,Current,Pioneer Urban Bank,P00472,,HUBK0780956,Active,C0031
ACC00270,848073794696183,Savings,Pioneer Urban Bank,P00474,,HUBK0305194,Active,C0031
ACC00271,1628111724816823,Current,Evergreen Finance Bank,P00476,,HUBK0429512,Active,C0031
ACC00272,79512814842970,Savings,Cedar National Bank,P00477,,HUBK0815424,Active,C0031
ACC00273,740086241672,Savings,Harbor Union Bank,P00480,,HUBK0408805,Active,C0031
ACC00274,1811294602732324,Current,Harbor Union Bank,P00481,,HUBK0700982,Active,C0031
ACC00275,14197127333846,Current,Summit Cooperative Bank,P00484,,HUBK0775939,Active,C0031
ACC00276,24502894471475,Current,Evergreen Finance Bank,P00485,,HUBK0731946,Active,C0031
ACC00277,1877751858919,Savings,Summit Cooperative Bank,P00486,,HUBK0467511,Active,C0032
ACC00278,4895124123736151,Savings,Harbor Union Bank,P00488,,HUBK0304993,Active,C0032
ACC00279,3243450378394,Savings,Evergreen Finance Bank,P00490,,HUBK0035645,Active,C0032
ACC00280,39236511659508,Savings,Evergreen Finance Bank,P00491,,HUBK0797570,Active,C0032
ACC00281,13741797290359,Current,Summit Cooperative Bank,P00493,,HUBK0164037,Active,C0034
ACC00282,799660198831933,Savings,Summit Cooperative Bank,P00498,,HUBK0912503,Active,C0034
ACC00283,84426062843190,Savings,Riverview Commercial Bank,P00500,,HUBK0902772,Inactive,C0035
ACC00284,124778220023,Savings,Summit Cooperative Bank,P00501,,HUBK0593863,Active,C0035
ACC00285,626200673754,Savings,Evergreen Finance Bank,P00503,,HUBK0901861,Active,C0035
ACC00286,76711182082989,Savings,Cedar National Bank,P00504,,HUBK0130290,Active,C0035
ACC00287,966437628632174,Current,Evergreen Finance Bank,P00505,,HUBK0248287,Active,C0035
ACC00288,7506597530276,Current,Harbor Union Bank,P00507,,HUBK0895303,Inactive,C0035
ACC00289,496738507087968,Savings,Summit Cooperative Bank,P00508,,HUBK0348435,Active,C0035
ACC00290,9673503048912,Savings,Pioneer Urban Bank,P00516,,HUBK0872835,Active,C0035
ACC00291,622182198361679,Savings,Harbor Union Bank,P00517,,HUBK0827812,Active,C0035
ACC00292,56628338616174,Current,Cedar National Bank,P00519,,HUBK0434255,Active,C0035
ACC00293,3903019108819,Savings,Pioneer Urban Bank,P00522,,HUBK0592614,Active,C0035
ACC00294,54344097711687,Current,Evergreen Finance Bank,P00321,,HUBK0697540,Active,C0036
ACC00295,9056411410647,Current,Evergreen Finance Bank,P00526,,HUBK0304371,Active,C0036
ACC00296,1429470042866,Savings,Riverview Commercial Bank,P00527,,HUBK0597768,Active,C0036
ACC00297,174895715463800,Current,Harbor Union Bank,,O0020,HUBK0345300,Active,C0036
