event_id,event_type,title,timestamp,location_id,case_id,description,evidence_id
EV00048,Interview,Interview involving Mohit Khan,2024-10-13T23:18:22,L0313,C0004,Interview activity observed in connection with banking fraud investigation CASE-2026-0004.,E05810
EV00049,Call,Call involving Rhea Singh,2024-09-16T22:10:47,L0526,C0004,Call activity observed in connection with banking fraud investigation CASE-2026-0004.,nan
EV00050,Interview,Interview involving Rhea Singh,2024-06-16T07:16:14,L0018,C0004,Interview activity observed in connection with banking fraud investigation CASE-2026-0004.,E05811
EV00051,Surveillance,Surveillance involving Nikhil Shetty,2024-01-19T10:31:30,L0540,C0004,Surveillance activity observed in connection with banking fraud investigation CASE-2026-0004.,nan
EV00052,Surveillance,Surveillance involving Sameer Shah,2024-07-23T06:51:47,L0526,C0004,Surveillance activity observed in connection with banking fraud investigation CASE-2026-0004.,nan
EV00053,Observation,Observation involving Aditya Joshi,2024-08-21T14:24:03,L0018,C0004,Observation activity observed in connection with banking fraud investigation CASE-2026-0004.,nan
EV00054,Vehicle Movement,Vehicle Movement involving Aarav Mishra,2024-08-22T00:46:30,L0449,C0005,Vehicle Movement activity observed in connection with payment fraud investigation CASE-2026-0005.,nan
EV00055,Crime,Crime involving Diya Patil,2024-08-30T05:42:12,L0377,C0005,Crime activity observed in connection with payment fraud investigation CASE-2026-0005.,E05815
EV00056,Transaction,Transaction involving Aarav Mishra,2024-08-31T02:18:45,L0256,C0005,Transaction activity observed in connection with payment fraud investigation CASE-2026-0005.,nan
EV00057,Transaction,Transaction involving Pranav Patil,2024-01-04T15:46:58,L0231,C0006,Transaction activity observed in connection with large organized crime network investigation CASE-2026-0006.,nan
EV00058,Arrest,Arrest involving Ishita Shah,2024-04-08T09:09:07,L0416,C0006,Arrest activity observed in connection with large organized crime network investigation CASE-2026-0006.,E05831
EV00059,Call,Call involving Yamini Malhotra,2024-08-06T07:04:02,L0059,C0006,Call activity observed in connection with large organized crime network investigation CASE-2026-0006.,E05832
EV00060,Meeting,Meeting involving Meera Iyer,2024-03-28T06:09:27,L0416,C0006,Meeting activity observed in connection with large organized crime network investigation CASE-2026-0006.,E05833
EV00061,Cyber Activity,Cyber Activity involving Yamini Malhotra,2024-11-08T11:30:13,L0059,C0006,Cyber Activity activity observed in connection with large organized crime network investigation CASE-2026-0006.,nan
EV00062,Arrest,Arrest involving Arjun Menon,2024-10-31T05:05:16,L0214,C0006,Arrest activity observed in connection with large organized crime network investigation CASE-2026-0006.,E05834
EV00063,Cyber Activity,Cyber Activity involving Aditya Iyer,2024-12-11T19:59:08,L0214,C0006,Cyber Activity activity observed in connection with large organized crime network investigation CASE-2026-0006.,nan
EV00064,Delivery,Delivery involving Pallavi Verma,2024-12-25T03:45:29,L0416,C0006,Delivery activity observed in connection with large organized crime network investigation CASE-2026-0006.,nan
EV00065,Arrest,Arrest involving Karan Mehta,2024-03-29T04:30:01,L0059,C0006,Arrest activity observed in connection with large organized crime network investigation CASE-2026-0006.,E05835
EV00066,Surveillance,Surveillance involving Simran Joshi,2024-01-21T02:20:59,L0416,C0006,Surveillance activity observed in connection with large organized crime network investigation CASE-2026-0006.,E05836
EV00067,Surveillance,Surveillance involving Yamini Thakur,2024-05-26T00:57:59,L0416,C0006,Surveillance activity observed in connection with large organized crime network investigation CASE-2026-0006.,nan
EV00068,Observation,Observation involving Varun Rao,2024-07-18T18:35:55,L0059,C0006,Observation activity observed in connection with large organized crime network investigation CASE-2026-0006.,E05837
EV00069,Transaction,Transaction involving Varun Menon,2024-10-06T07:35:32,L0059,C0006,Transaction activity observed in connection with large organized crime network investigation CASE-2026-0006.,nan
EV00070,Surveillance,Surveillance involving Meera Shah,2024-11-08T03:31:22,L0059,C0006,Surveillance activity observed in connection with large organized crime network investigation CASE-2026-0006.,nan
EV00071,Evidence Collection,Evidence Collection involving Harsh Sethi,2024-07-11T08:04:50,L0214,C0006,Evidence Collection activity observed in connection with large organized crime network investigation CASE-2026-0006.,nan
EV00072,Financial Activity,Financial Activity involving Mohit Verma,2024-02-06T12:49:11,L0231,C0006,Financial Activity activity observed in connection with large organized crime network investigation CASE-2026-0006.,E05838
EV00073,Observation,Observation involving Varun Patil,2024-05-28T21:06:23,L0231,C0006,Observation activity observed in connection with large organized crime network investigation CASE-2026-0006.,E05839
EV00074,Arrest,Arrest involving Trisha Rao,2024-06-24T11:45:39,L0376,C0007,Arrest activity observed in connection with individual cyber fraud investigation CASE-2026-0007.,E05847
EV00075,Transaction,Transaction involving Aditya Bansal,2024-05-10T03:06:26,L0376,C0007,Transaction activity observed in connection with individual cyber fraud investigation CASE-2026-0007.,nan
EV00076,Call,Call involving Meera Saxena,2024-03-22T22:34:03,L0376,C0007,Call activity observed in connection with individual cyber fraud investigation CASE-2026-0007.,nan
EV00077,Cyber Activity,Cyber Activity involving Meera Khan,2024-08-19T13:56:01,L0353,C0007,Cyber Activity activity observed in connection with individual cyber fraud investigation CASE-2026-0007.,E05848
EV00078,Observation,Observation involving Varun Rao,2024-04-14T07:19:15,L0417,C0007,Observation activity observed in connection with individual cyber fraud investigation CASE-2026-0007.,nan
EV00079,Observation,Observation involving Siddharth Gupta,2024-07-09T06:00:51,L0376,C0007,Observation activity observed in connection with individual cyber fraud investigation CASE-2026-0007.,nan
EV00080,Surveillance,Surveillance involving Tanvi Mehta,2024-06-15T23:41:17,L0417,C0007,Surveillance activity observed in connection with individual cyber fraud investigation CASE-2026-0007.,nan
EV00081,Call,Call involving Aarav Kapoor,2024-08-03T01:59:38,L0417,C0007,Call activity observed in connection with individual cyber fraud investigation CASE-2026-0007.,E05849
EV00082,Surveillance,Surveillance involving Karan Thakur,2024-06-05T03:55:55,L0514,C0008,Surveillance activity observed in connection with kidnapping investigation CASE-2026-0008.,nan
EV00083,Surveillance,Surveillance involving Dhruv Thakur,2024-01-26T20:00:33,L0514,C0008,Surveillance activity observed in connection with kidnapping investigation CASE-2026-0008.,nan
EV00084,Cyber Activity,Cyber Activity involving Isha Shah,2024-08-18T23:39:20,L0327,C0008,Cyber Activity activity observed in connection with kidnapping investigation CASE-2026-0008.,nan
EV00085,Observation,Observation involving Naveen Reddy,2024-08-30T09:19:30,L0564,C0008,Observation activity observed in connection with kidnapping investigation CASE-2026-0008.,E05858
EV00086,Evidence Collection,Evidence Collection involving Pranav Thakur,2024-05-13T08:00:33,L0564,C0008,Evidence Collection activity observed in connection with kidnapping investigation CASE-2026-0008.,nan
EV00087,Meeting,Meeting involving Aditi Reddy,2024-07-28T04:14:18,L0514,C0008,Meeting activity observed in connection with kidnapping investigation CASE-2026-0008.,nan
EV00088,Cyber Activity,Cyber Activity involving Dev Khan,2024-06-26T17:38:38,L0327,C0008,Cyber Activity activity observed in connection with kidnapping investigation CASE-2026-0008.,E05859
EV00089,Evidence Collection,Evidence Collection involving Aditi Reddy,2024-01-24T21:20:00,L0327,C0008,Evidence Collection activity observed in connection with kidnapping investigation CASE-2026-0008.,E05860
EV00090,Arrest,Arrest involving Aditi Reddy,2024-06-26T14:57:47,L0564,C0008,Arrest activity observed in connection with kidnapping investigation CASE-2026-0008.,nan
EV00091,Surveillance,Surveillance involving Dev Khan,2024-09-02T17:10:07,L0564,C0008,Surveillance activity observed in connection with kidnapping investigation CASE-2026-0008.,nan
EV00092,Crime,Crime involving Dev Khan,2024-11-02T15:43:51,L0577,C0008,Crime activity observed in connection with kidnapping investigation CASE-2026-0008.,nan
EV00093,Vehicle Movement,Vehicle Movement involving Dhruv Thakur,2024-05-13T22:38:20,L0577,C0008,Vehicle Movement activity observed in connection with kidnapping investigation CASE-2026-0008.,nan
EV00094,Evidence Collection,Evidence Collection involving Isha Shah,2024-05-16T19:49:33,L0327,C0008,Evidence Collection activity observed in connection with kidnapping investigation CASE-2026-0008.,nan
EV00095,Evidence Collection,Evidence Collection involving Aditi Reddy,2024-08-14T18:04:12,L0577,C0008,Evidence Collection activity observed in connection with kidnapping investigation CASE-2026-0008.,nan
EV00096,Surveillance,Surveillance involving Karan Thakur,2024-07-30T09:40:34,L0514,C0008,Surveillance activity observed in connection with kidnapping investigation CASE-2026-0008.,E05861
EV00097,Arrest,Arrest involving Karan Thakur,2024-07-05T17:31:25,L0577,C0008,Arrest activity observed in connection with kidnapping investigation CASE-2026-0008.,nan
EV00098,Crime,Crime involving Arjun Naik,2024-07-28T20:40:47,L0354,C0009,Crime activity observed in connection with payment fraud investigation CASE-2026-0009.,nan
EV00099,Vehicle Movement,Vehicle Movement involving Arjun Naik,2024-07-29T10:33:27,L0396,C0009,Vehicle Movement activity observed in connection with payment fraud investigation CASE-2026-0009.,nan
EV00100,Crime,Crime involving Arjun Naik,2024-08-30T16:04:32,L0597,C0009,Crime activity observed in connection with payment fraud investigation CASE-2026-0009.,E05866
EV00101,Observation,Observation involving Tara Thakur,2024-06-22T13:00:08,L0101,C0010,Observation activity observed in connection with logistics fraud investigation CASE-2026-0010.,nan
EV00102,Call,Call involving Tara Thakur,2024-03-31T18:46:37,L0101,C0010,Call activity observed in connection with logistics fraud investigation CASE-2026-0010.,nan
EV00103,Arrest,Arrest involving Ishita Das,2024-03-01T07:13:47,L0053,C0010,Arrest activity observed in connection with logistics fraud investigation CASE-2026-0010.,E05871
EV00104,Call,Call involving Pranav Malhotra,2024-06-18T03:05:12,L0437,C0010,Call activity observed in connection with logistics fraud investigation CASE-2026-0010.,nan
EV00105,Surveillance,Surveillance involving Neha Chavan,2024-08-05T22:21:55,L0053,C0010,Surveillance activity observed in connection with logistics fraud investigation CASE-2026-0010.,nan
EV00106,Cyber Activity,Cyber Activity involving Naveen Chavan,2024-08-30T02:20:35,L0437,C0010,Cyber Activity activity observed in connection with logistics fraud investigation CASE-2026-0010.,E05872
EV00107,Meeting,Meeting involving Ishita Das,2024-08-29T18:44:58,L0101,C0010,Meeting activity observed in connection with logistics fraud investigation CASE-2026-0010.,nan
EV00108,Vehicle Movement,Vehicle Movement involving Varun Malhotra,2024-04-01T23:09:00,L0101,C0010,Vehicle Movement activity observed in connection with logistics fraud investigation CASE-2026-0010.,nan
EV00109,Vehicle Movement,Vehicle Movement involving Vivek Bansal,2024-08-01T00:58:10,L0438,C0011,Vehicle Movement activity observed in connection with murder investigation investigation CASE-2026-0011.,E05881
EV00110,Evidence Collection,Evidence Collection involving Aanya Mehta,2024-08-02T01:11:30,L0438,C0011,Evidence Collection activity observed in connection with murder investigation investigation CASE-2026-0011.,nan
EV00111,Arrest,Arrest involving Yash Malhotra,2024-08-06T11:15:47,L0235,C0011,Arrest activity observed in connection with murder investigation investigation CASE-2026-0011.,nan
EV00112,Delivery,Delivery involving Dhruv Khan,2024-07-09T12:38:44,L0438,C0011,Delivery activity observed in connection with murder investigation investigation CASE-2026-0011.,nan
EV00113,Interview,Interview involving Akash Joshi,2024-08-26T20:55:08,L0235,C0011,Interview activity observed in connection with murder investigation investigation CASE-2026-0011.,nan
EV00114,Arrest,Arrest involving Siddharth Thakur,2024-08-07T05:23:13,L0389,C0011,Arrest activity observed in connection with murder investigation investigation CASE-2026-0011.,E05882
EV00115,Financial Activity,Financial Activity involving Akash Joshi,2024-07-20T16:54:56,L0235,C0011,Financial Activity activity observed in connection with murder investigation investigation CASE-2026-0011.,E05883
EV00116,Observation,Observation involving Arjun Malhotra,2024-08-26T20:47:41,L0389,C0011,Observation activity observed in connection with murder investigation investigation CASE-2026-0011.,nan
EV00117,Delivery,Delivery involving Arjun Malhotra,2024-07-12T06:37:25,L0234,C0011,Delivery activity observed in connection with murder investigation investigation CASE-2026-0011.,nan
EV00118,Surveillance,Surveillance involving Avni Nair,2024-01-11T22:06:17,L0152,C0012,Surveillance activity observed in connection with insurance fraud investigation CASE-2026-0012.,nan
EV00119,Meeting,Meeting involving Siddharth Menon,2024-08-09T15:23:11,L0110,C0012,Meeting activity observed in connection with insurance fraud investigation CASE-2026-0012.,nan
EV00120,Interview,Interview involving Tanvi Chavan,2024-09-19T01:32:13,L0092,C0012,Interview activity observed in connection with insurance fraud investigation CASE-2026-0012.,E05892
EV00121,Arrest,Arrest involving Rahul Verma,2024-06-14T16:43:38,L0152,C0012,Arrest activity observed in connection with insurance fraud investigation CASE-2026-0012.,E05893
EV00122,Meeting,Meeting involving Naveen Reddy,2024-04-06T12:10:30,L0152,C0012,Meeting activity observed in connection with insurance fraud investigation CASE-2026-0012.,nan
EV00123,Evidence Collection,Evidence Collection involving Nikhil Verma,2024-05-12T05:24:43,L0152,C0012,Evidence Collection activity observed in connection with insurance fraud investigation CASE-2026-0012.,nan
EV00124,Surveillance,Surveillance involving Avni Nair,2024-05-06T14:15:04,L0110,C0012,Surveillance activity observed in connection with insurance fraud investigation CASE-2026-0012.,nan
EV00125,Transaction,Transaction involving Nikhil Verma,2024-08-05T08:36:53,L0110,C0012,Transaction activity observed in connection with insurance fraud investigation CASE-2026-0012.,E05894
EV00126,Delivery,Delivery involving Nikhil Verma,2024-04-10T19:00:43,L0577,C0012,Delivery activity observed in connection with insurance fraud investigation CASE-2026-0012.,E05895
EV00127,Observation,Observation involving Rohan Ghosh,2024-04-22T11:33:46,L0471,C0013,Observation activity observed in connection with simple robbery investigation CASE-2026-0013.,nan
EV00128,Meeting,Meeting involving Rahul Naik,2024-03-21T11:28:05,L0449,C0013,Meeting activity observed in connection with simple robbery investigation CASE-2026-0013.,nan
EV00129,Delivery,Delivery involving Nikhil Mehta,2024-04-10T01:58:22,L0432,C0014,Delivery activity observed in connection with large organized crime network investigation CASE-2026-0014.,nan
EV00130,Vehicle Movement,Vehicle Movement involving Simran Thakur,2024-07-26T23:03:49,L0551,C0014,Vehicle Movement activity observed in connection with large organized crime network investigation CASE-2026-0014.,E05911
EV00131,Delivery,Delivery involving Isha Desai,2024-05-18T17:19:56,L0600,C0014,Delivery activity observed in connection with large organized crime network investigation CASE-2026-0014.,nan
EV00132,Observation,Observation involving Riya Rao,2024-03-13T14:41:25,L0383,C0014,Observation activity observed in connection with large organized crime network investigation CASE-2026-0014.,E05912
EV00133,Call,Call involving Akash Desai,2024-06-22T11:35:07,L0551,C0014,Call activity observed in connection with large organized crime network investigation CASE-2026-0014.,E05913
EV00134,Vehicle Movement,Vehicle Movement involving Isha Desai,2024-08-30T13:50:32,L0383,C0014,Vehicle Movement activity observed in connection with large organized crime network investigation CASE-2026-0014.,nan
EV00135,Crime,Crime involving Pallavi Iyer,2024-04-24T06:25:27,L0383,C0014,Crime activity observed in connection with large organized crime network investigation CASE-2026-0014.,E05914
EV00136,Meeting,Meeting involving Rohan Shetty,2024-03-17T22:28:52,L0383,C0014,Meeting activity observed in connection with large organized crime network investigation CASE-2026-0014.,nan
EV00137,Vehicle Movement,Vehicle Movement involving Akash Patil,2024-07-14T04:08:15,L0600,C0014,Vehicle Movement activity observed in connection with large organized crime network investigation CASE-2026-0014.,nan
EV00138,Cyber Activity,Cyber Activity involving Pallavi Iyer,2024-08-15T01:15:04,L0431,C0014,Cyber Activity activity observed in connection with large organized crime network investigation CASE-2026-0014.,nan
EV00139,Surveillance,Surveillance involving Ritesh Patil,2024-05-03T19:49:11,L0551,C0014,Surveillance activity observed in connection with large organized crime network investigation CASE-2026-0014.,nan
EV00140,Vehicle Movement,Vehicle Movement involving Arnav Kulkarni,2024-07-16T21:28:31,L0205,C0015,Vehicle Movement activity observed in connection with property fraud investigation CASE-2026-0015.,nan
EV00141,Surveillance,Surveillance involving Aanya Khan,2024-08-28T01:47:28,L0065,C0015,Surveillance activity observed in connection with property fraud investigation CASE-2026-0015.,nan
EV00142,Meeting,Meeting involving Karan Nair,2024-07-14T16:12:50,L0593,C0015,Meeting activity observed in connection with property fraud investigation CASE-2026-0015.,E05924
EV00143,Call,Call involving Anushka Patil,2024-08-20T14:59:48,L0593,C0015,Call activity observed in connection with property fraud investigation CASE-2026-0015.,E05925
EV00144,Financial Activity,Financial Activity involving Manav Naik,2024-07-14T00:08:25,L0593,C0015,Financial Activity activity observed in connection with property fraud investigation CASE-2026-0015.,nan
EV00145,Transaction,Transaction involving Aanya Khan,2024-07-31T23:18:05,L0065,C0015,Transaction activity observed in connection with property fraud investigation CASE-2026-0015.,nan
EV00146,Interview,Interview involving Varun Menon,2024-08-12T22:00:42,L0026,C0015,Interview activity observed in connection with property fraud investigation CASE-2026-0015.,E05926
EV00147,Observation,Observation involving Rhea Patil,2024-08-19T00:09:20,L0026,C0015,Observation activity observed in connection with property fraud investigation CASE-2026-0015.,nan
EV00148,Meeting,Meeting involving Mahi Rao,2024-07-18T22:35:15,L0205,C0015,Meeting activity observed in connection with property fraud investigation CASE-2026-0015.,E05927
EV00149,Transaction,Transaction involving Pranav Shetty,2024-08-07T13:25:42,L0195,C0015,Transaction activity observed in connection with property fraud investigation CASE-2026-0015.,nan
EV00150,Meeting,Meeting involving Siddharth Thakur,2024-07-30T23:51:09,L0195,C0015,Meeting activity observed in connection with property fraud investigation CASE-2026-0015.,nan
EV00151,Evidence Collection,Evidence Collection involving Siddharth Thakur,2024-08-16T16:20:20,L0593,C0015,Evidence Collection activity observed in connection with property fraud investigation CASE-2026-0015.,E05928
EV00152,Delivery,Delivery involving Aditya Jadhav,2024-08-26T15:45:50,L0205,C0015,Delivery activity observed in connection with property fraud investigation CASE-2026-0015.,E05929
EV00153,Call,Call involving Pranav Shetty,2024-07-29T08:05:26,L0026,C0015,Call activity observed in connection with property fraud investigation CASE-2026-0015.,E05930
EV00154,Meeting,Meeting involving Karan Nair,2024-08-20T05:46:07,L0205,C0015,Meeting activity observed in connection with property fraud investigation CASE-2026-0015.,nan
EV00155,Surveillance,Surveillance involving Aniket Reddy,2024-11-18T20:36:44,L0171,C0016,Surveillance activity observed in connection with financial crime investigation investigation CASE-2026-0016.,nan
EV00156,Call,Call involving Aniket Reddy,2024-08-20T22:55:22,L0428,C0016,Call activity observed in connection with financial crime investigation investigation CASE-2026-0016.,nan
EV00157,Cyber Activity,Cyber Activity involving Aniket Reddy,2024-04-08T20:14:02,L0308,C0016,Cyber Activity activity observed in connection with financial crime investigation investigation CASE-2026-0016.,nan
EV00158,Surveillance,Surveillance involving Rhea Saxena,2024-05-03T02:57:16,L0171,C0016,Surveillance activity observed in connection with financial crime investigation investigation CASE-2026-0016.,nan
EV00159,Interview,Interview involving Ritesh Kapoor,2024-03-10T06:26:23,L0222,C0016,Interview activity observed in connection with financial crime investigation investigation CASE-2026-0016.,nan
EV00160,Meeting,Meeting involving Naveen Pillai,2024-08-14T16:02:10,L0171,C0016,Meeting activity observed in connection with financial crime investigation investigation CASE-2026-0016.,nan
EV00161,Surveillance,Surveillance involving Pooja Nair,2024-07-16T20:01:25,L0428,C0016,Surveillance activity observed in connection with financial crime investigation investigation CASE-2026-0016.,nan
EV00162,Interview,Interview involving Rhea Bansal,2024-04-12T01:26:06,L0428,C0016,Interview activity observed in connection with financial crime investigation investigation CASE-2026-0016.,nan
EV00163,Evidence Collection,Evidence Collection involving Arnav Thakur,2024-10-23T09:01:27,L0308,C0016,Evidence Collection activity observed in connection with financial crime investigation investigation CASE-2026-0016.,nan
EV00164,Arrest,Arrest involving Saurabh Iyer,2024-02-26T09:23:24,L0222,C0016,Arrest activity observed in connection with financial crime investigation investigation CASE-2026-0016.,E05945
EV00165,Call,Call involving Karan Kapoor,2024-01-30T02:09:51,L0200,C0016,Call activity observed in connection with financial crime investigation investigation CASE-2026-0016.,E05946
EV00166,Transaction,Transaction involving Naina Kapoor,2024-12-02T18:23:56,L0428,C0016,Transaction activity observed in connection with financial crime investigation investigation CASE-2026-0016.,nan
EV00167,Surveillance,Surveillance involving Sneha Jadhav,2024-09-20T22:41:57,L0428,C0016,Surveillance activity observed in connection with financial crime investigation investigation CASE-2026-0016.,E05947
EV00168,Surveillance,Surveillance involving Arnav Thakur,2024-04-05T10:00:28,L0428,C0016,Surveillance activity observed in connection with financial crime investigation investigation CASE-2026-0016.,nan
EV00169,Call,Call involving Avni Singh,2024-12-16T18:57:58,L0258,C0017,Call activity observed in connection with burglary investigation CASE-2026-0017.,nan
EV00170,Delivery,Delivery involving Zoya Reddy,2024-07-29T03:20:03,L0258,C0017,Delivery activity observed in connection with burglary investigation CASE-2026-0017.,nan
