finding_id,source_id,entity_id,entity_type,finding_type,content,timestamp,confidence,status,case_id
OF00016,OS0009,P00075,person,Public Mention,OSINT record suggests online presence associated with Aarav Mishra (P00075).,2024-08-22T05:55:58,0.85,Disputed,C0005
OF00017,OS0010,P00109,person,Public Mention,OSINT record suggests online presence associated with Pallavi Verma (P00109).,2024-02-24T20:44:33,0.75,Disputed,C0006
OF00018,OS0010,P00094,person,Digital Footprint,OSINT record suggests online presence associated with Karan Mehta (P00094).,2024-02-25T10:44:33,0.47,Disputed,C0006
OF00019,OS0011,P00090,person,Digital Footprint,OSINT record suggests online presence associated with Sneha Joshi (P00090).,2024-06-18T04:36:25,0.54,Disputed,C0006
OF00020,OS0011,P00112,person,Public Mention,OSINT record suggests online presence associated with Meera Shah (P00112).,2024-06-17T08:36:25,0.47,Review,C0006
OF00021,OS0011,P00091,person,Social Identity,OSINT record suggests online presence associated with Naveen Menon (P00091).,2024-06-18T20:36:25,0.71,Verified,C0006
OF00022,OS0012,O0004,organization,Social Identity,OSINT record references business listing possibly linked to Sterling Realty Pvt Ltd (O0004).,2024-07-02T06:34:12,0.47,Review,C0007
OF00023,OS0012,P00123,person,Business Listing,OSINT record suggests online presence associated with Pooja Joshi (P00123).,2024-07-01T02:34:12,0.68,Disputed,C0007
OF00024,OS0013,P00123,person,Digital Footprint,OSINT record suggests online presence associated with Pooja Joshi (P00123).,2024-04-30T15:26:48,0.77,Verified,C0007
OF00025,OS0014,P00113,person,Public Mention,OSINT record suggests online presence associated with Siddharth Gupta (P00113).,2024-07-26T10:37:22,0.58,Verified,C0007
OF00026,OS0014,P00114,person,Digital Footprint,OSINT record suggests online presence associated with Vivek Kulkarni (P00114).,2024-07-26T07:37:22,0.6,Review,C0007
OF00027,OS0014,P00114,person,Social Identity,OSINT record suggests online presence associated with Vivek Kulkarni (P00114).,2024-07-27T22:37:22,0.55,Review,C0007
OF00028,OS0015,P00122,person,Digital Footprint,OSINT record suggests online presence associated with Aman Bansal (P00122).,2024-05-17T06:23:29,0.72,Review,C0007
OF00029,OS0015,P00114,person,Business Listing,OSINT record suggests online presence associated with Vivek Kulkarni (P00114).,2024-05-18T06:23:29,0.6,Disputed,C0007
OF00030,OS0016,P00014,person,Public Mention,OSINT record suggests online presence associated with Mohit Shah (P00014).,2024-07-03T20:21:39,0.5,Review,C0008
OF00031,OS0017,P00136,person,Public Mention,OSINT record suggests online presence associated with Pranav Kulkarni (P00136).,2024-06-29T06:05:41,0.54,Review,C0008
OF00032,OS0017,P00140,person,Business Listing,OSINT record suggests online presence associated with Aman Kulkarni (P00140).,2024-06-30T19:05:41,0.8,Disputed,C0008
OF00033,OS0018,P00148,person,Public Mention,OSINT record suggests online presence associated with Aanya Jadhav (P00148).,2024-07-31T16:21:24,0.53,Verified,C0009
OF00034,OS0019,P00142,person,Public Mention,OSINT record suggests online presence associated with Ishita Rao (P00142).,2024-07-03T18:05:41,0.64,Review,C0009
OF00035,OS0019,P00146,person,Public Mention,OSINT record suggests online presence associated with Aanya Menon (P00146).,2024-07-04T07:05:41,0.49,Review,C0009
OF00036,OS0020,P00153,person,Digital Footprint,OSINT record suggests online presence associated with Varun Malhotra (P00153).,2024-03-03T16:55:14,0.57,Review,C0010
OF00037,OS0021,P00161,person,Public Mention,OSINT record suggests online presence associated with Dhruv Khan (P00161).,2024-07-22T06:37:42,0.91,Disputed,C0011
OF00038,OS0021,P00166,person,Social Identity,OSINT record suggests online presence associated with Pranav Patil (P00166).,2024-07-23T04:37:42,0.69,Verified,C0011
OF00039,OS0022,P00175,person,Public Mention,OSINT record suggests online presence associated with Akash Joshi (P00175).,2024-07-12T20:39:24,0.86,Verified,C0011
OF00040,OS0022,P00172,person,Business Listing,OSINT record suggests online presence associated with Aanya Mehta (P00172).,2024-07-14T04:39:24,0.69,Disputed,C0011
OF00041,OS0022,P00178,person,Social Identity,OSINT record suggests online presence associated with Yash Malhotra (P00178).,2024-07-13T16:39:24,0.55,Disputed,C0011
OF00042,OS0023,O0006,organization,Public Mention,OSINT record references business listing possibly linked to Horizon Consulting Services (O0006).,2024-07-22T02:24:53,0.81,Verified,C0011
OF00043,OS0023,P00163,person,Public Mention,OSINT record suggests online presence associated with Dev Singh (P00163).,2024-07-22T15:24:53,0.76,Review,C0011
OF00044,OS0023,P00179,person,Public Mention,OSINT record suggests online presence associated with Diya Das (P00179).,2024-07-22T01:24:53,0.7,Review,C0011
OF00045,OS0024,P00007,person,Social Identity,OSINT record suggests online presence associated with Rahul Verma (P00007).,2024-02-27T08:05:49,0.78,Disputed,C0012
OF00046,OS0025,P00010,person,Business Listing,OSINT record suggests online presence associated with Naveen Reddy (P00010).,2024-01-28T10:43:09,0.88,Disputed,C0012
OF00047,OS0026,P00007,person,Digital Footprint,OSINT record suggests online presence associated with Rahul Verma (P00007).,2024-05-27T18:40:57,0.61,Review,C0012
OF00048,OS0027,P00195,person,Public Mention,OSINT record suggests online presence associated with Rahul Naik (P00195).,2024-03-25T20:12:14,0.5,Verified,C0013
OF00049,OS0027,P00192,person,Social Identity,OSINT record suggests online presence associated with Sameer Jadhav (P00192).,2024-03-26T19:12:14,0.64,Review,C0013
OF00050,OS0027,P00194,person,Social Identity,OSINT record suggests online presence associated with Rohan Ghosh (P00194).,2024-03-26T02:12:14,0.8,Verified,C0013
OF00051,OS0028,P00213,person,Digital Footprint,OSINT record suggests online presence associated with Aditya Naik (P00213).,2024-03-14T20:37:08,0.59,Review,C0014
OF00052,OS0029,O0008,organization,Business Listing,OSINT record references business listing possibly linked to Ganga Realty Pvt Ltd (O0008).,2024-07-25T21:52:53,0.75,Verified,C0014
OF00053,OS0030,P00231,person,Public Mention,OSINT record suggests online presence associated with Varun Menon (P00231).,2024-07-31T05:21:43,0.69,Review,C0015
OF00054,OS0030,P00238,person,Social Identity,OSINT record suggests online presence associated with Rhea Patil (P00238).,2024-07-31T09:21:43,0.78,Verified,C0015
OF00055,OS0031,P00238,person,Public Mention,OSINT record suggests online presence associated with Rhea Patil (P00238).,2024-08-08T14:57:17,0.63,Verified,C0015
OF00056,OS0031,O0009,organization,Social Identity,OSINT record references business listing possibly linked to Sahyadri Transport (O0009).,2024-08-10T09:57:17,0.73,Review,C0015
OF00057,OS0031,P00236,person,Public Mention,OSINT record suggests online presence associated with Akash Saxena (P00236).,2024-08-09T17:57:17,0.9,Review,C0015
OF00058,OS0032,P00227,person,Business Listing,OSINT record suggests online presence associated with Pranav Shetty (P00227).,2024-08-19T01:48:18,0.59,Verified,C0015
OF00059,OS0032,P00232,person,Social Identity,OSINT record suggests online presence associated with Karan Mehta (P00232).,2024-08-18T15:48:18,0.7,Verified,C0015
OF00060,OS0033,O0009,organization,Digital Footprint,OSINT record references business listing possibly linked to Sahyadri Transport (O0009).,2024-08-25T06:24:52,0.6,Verified,C0015
OF00061,OS0034,P00245,person,Social Identity,OSINT record suggests online presence associated with Yamini Singh (P00245).,2024-06-11T00:59:26,0.47,Verified,C0016
OF00062,OS0035,P00268,person,Public Mention,OSINT record suggests online presence associated with Pranav Ghosh (P00268).,2024-08-01T00:25:12,0.76,Review,C0017
OF00063,OS0035,P00271,person,Digital Footprint,OSINT record suggests online presence associated with Avni Singh (P00271).,2024-07-30T19:25:12,0.91,Review,C0017
OF00064,OS0035,P00270,person,Public Mention,OSINT record suggests online presence associated with Vivek Saxena (P00270).,2024-07-31T21:25:12,0.75,Disputed,C0017
OF00065,OS0036,P00265,person,Business Listing,OSINT record suggests online presence associated with Zoya Reddy (P00265).,2024-11-22T23:47:20,0.91,Verified,C0017
OF00066,OS0037,P00267,person,Public Mention,OSINT record suggests online presence associated with Yamini Shetty (P00267).,2024-01-20T03:29:31,0.46,Review,C0017
OF00067,OS0037,P00271,person,Social Identity,OSINT record suggests online presence associated with Avni Singh (P00271).,2024-01-21T14:29:31,0.71,Review,C0017
OF00068,OS0037,P00270,person,Public Mention,OSINT record suggests online presence associated with Vivek Saxena (P00270).,2024-01-21T04:29:31,0.79,Disputed,C0017
OF00069,OS0038,P00270,person,Public Mention,OSINT record suggests online presence associated with Vivek Saxena (P00270).,2024-07-25T03:56:23,0.89,Review,C0017
OF00070,OS0038,P00271,person,Social Identity,OSINT record suggests online presence associated with Avni Singh (P00271).,2024-07-25T20:56:23,0.68,Review,C0017
OF00071,OS0039,P00274,person,Digital Footprint,OSINT record suggests online presence associated with Kiara Joshi (P00274).,2024-06-19T09:03:29,0.82,Verified,C0018
OF00072,OS0040,P00286,person,Social Identity,OSINT record suggests online presence associated with Diya Patil (P00286).,2024-07-24T09:34:56,0.66,Verified,C0018
OF00073,OS0040,P00274,person,Digital Footprint,OSINT record suggests online presence associated with Kiara Joshi (P00274).,2024-07-23T08:34:56,0.89,Disputed,C0018
OF00074,OS0041,P00282,person,Public Mention,OSINT record suggests online presence associated with Dev Pillai (P00282).,2024-03-22T16:59:45,0.79,Review,C0018
OF00075,OS0041,P00291,person,Social Identity,OSINT record suggests online presence associated with Harsh Mehta (P00291).,2024-03-22T08:59:45,0.5,Review,C0018
OF00076,OS0042,P00297,person,Social Identity,OSINT record suggests online presence associated with Aanya Thakur (P00297).,2024-07-15T07:28:18,0.89,Disputed,C0019
OF00077,OS0043,P00327,person,Digital Footprint,OSINT record suggests online presence associated with Avni Desai (P00327).,2024-06-02T15:28:55,0.67,Verified,C0020
OF00078,OS0043,P00326,person,Social Identity,OSINT record suggests online presence associated with Vidhi Naik (P00326).,2024-06-03T07:28:55,0.68,Review,C0020
OF00079,OS0044,P00332,person,Social Identity,OSINT record suggests online presence associated with Karan Mehta (P00332).,2024-08-05T09:09:53,0.91,Disputed,C0020
OF00080,OS0044,P00307,person,Social Identity,OSINT record suggests online presence associated with Kiara Shah (P00307).,2024-08-05T20:09:53,0.85,Review,C0020
OF00081,OS0044,P00330,person,Digital Footprint,OSINT record suggests online presence associated with Siddharth Singh (P00330).,2024-08-05T09:09:53,0.79,Disputed,C0020
OF00082,OS0045,P00338,person,Public Mention,OSINT record suggests online presence associated with Zoya Patil (P00338).,2024-07-26T04:59:34,0.78,Review,C0021
OF00083,OS0045,P00335,person,Social Identity,OSINT record suggests online presence associated with Manav Das (P00335).,2024-07-25T14:59:34,0.72,Review,C0021
OF00084,OS0046,P00344,person,Digital Footprint,OSINT record suggests online presence associated with Saurabh Sethi (P00344).,2024-08-02T10:10:37,0.52,Verified,C0022
OF00085,OS0047,P00348,person,Business Listing,OSINT record suggests online presence associated with Aniket Malhotra (P00348).,2024-08-07T18:18:02,0.54,Verified,C0023
OF00086,OS0047,P00060,person,Digital Footprint,OSINT record suggests online presence associated with Varun Das (P00060).,2024-08-08T20:18:02,0.88,Verified,C0023
OF00087,OS0048,P00361,person,Public Mention,OSINT record suggests online presence associated with Rohan Saxena (P00361).,2024-07-11T09:57:12,0.85,Review,C0024
OF00088,OS0048,P00360,person,Business Listing,OSINT record suggests online presence associated with Arnav Chavan (P00360).,2024-07-12T01:57:12,0.68,Verified,C0024
OF00089,OS0049,O0013,organization,Public Mention,OSINT record references business listing possibly linked to Maharashtra Industrial Transport (O0013).,2024-10-22T17:26:51,0.58,Review,C0025
OF00090,OS0049,P00386,person,Public Mention,OSINT record suggests online presence associated with Shreya Iyer (P00386).,2024-10-23T02:26:51,0.88,Disputed,C0025
OF00091,OS0050,P00389,person,Social Identity,OSINT record suggests online presence associated with Kiara Sethi (P00389).,2024-09-10T13:03:44,0.45,Review,C0026
OF00092,OS0050,P00391,person,Digital Footprint,OSINT record suggests online presence associated with Rohan Menon (P00391).,2024-09-11T16:03:44,0.86,Disputed,C0026
OF00093,OS0051,P00394,person,Social Identity,OSINT record suggests online presence associated with Zoya Verma (P00394).,2024-02-28T18:08:30,0.89,Verified,C0027
OF00094,OS0052,P00400,person,Public Mention,OSINT record suggests online presence associated with Karan Kapoor (P00400).,2024-08-28T03:36:48,0.74,Disputed,C0028
OF00095,OS0052,P00397,person,Digital Footprint,OSINT record suggests online presence associated with Dhruv Mishra (P00397).,2024-08-27T12:36:48,0.47,Verified,C0028
OF00096,OS0053,P00399,person,Digital Footprint,OSINT record suggests online presence associated with Saurabh Khan (P00399).,2024-08-27T02:34:48,0.61,Review,C0028
OF00097,OS0053,P00396,person,Public Mention,OSINT record suggests online presence associated with Raj Kulkarni (P00396).,2024-08-26T09:34:48,0.52,Disputed,C0028
OF00098,OS0054,O0015,organization,Digital Footprint,OSINT record references business listing possibly linked to Sunrise Realty Pvt Ltd (O0015).,2024-08-25T23:51:02,0.61,Disputed,C0028
OF00099,OS0054,P00398,person,Public Mention,OSINT record suggests online presence associated with Ishita Malhotra (P00398).,2024-08-26T05:51:02,0.78,Verified,C0028
OF00100,OS0054,P00396,person,Digital Footprint,OSINT record suggests online presence associated with Raj Kulkarni (P00396).,2024-08-25T05:51:02,0.72,Disputed,C0028
OF00101,OS0055,O0016,organization,Digital Footprint,OSINT record references business listing possibly linked to Vertex Realty Pvt Ltd (O0016).,2024-11-25T04:09:52,0.53,Verified,C0029
OF00102,OS0055,O0016,organization,Public Mention,OSINT record references business listing possibly linked to Vertex Realty Pvt Ltd (O0016).,2024-11-24T06:09:52,0.64,Review,C0029
OF00103,OS0056,P00422,person,Digital Footprint,OSINT record suggests online presence associated with Tanvi Malhotra (P00422).,2024-05-17T14:42:53,0.6,Review,C0029
OF00104,OS0056,P00452,person,Public Mention,OSINT record suggests online presence associated with Kavya Nair (P00452).,2024-05-16T20:42:53,0.74,Verified,C0029
OF00105,OS0057,P00458,person,Digital Footprint,OSINT record suggests online presence associated with Naina Mehta (P00458).,2024-02-21T21:39:23,0.5,Review,C0030
OF00106,OS0057,P00457,person,Social Identity,OSINT record suggests online presence associated with Rahul Iyer (P00457).,2024-02-21T12:39:23,0.63,Review,C0030
OF00107,OS0058,O0017,organization,Business Listing,OSINT record references business listing possibly linked to Konkan Transport (O0017).,2024-08-16T06:44:43,0.49,Disputed,C0031
OF00108,OS0058,P00479,person,Public Mention,OSINT record suggests online presence associated with Rohan Kulkarni (P00479).,2024-08-15T10:44:43,0.9,Verified,C0031
OF00109,OS0059,P00487,person,Social Identity,OSINT record suggests online presence associated with Raj Ghosh (P00487).,2024-05-07T14:19:05,0.76,Disputed,C0032
OF00110,OS0059,P00490,person,Business Listing,OSINT record suggests online presence associated with Shreya Bansal (P00490).,2024-05-08T09:19:05,0.86,Review,C0032
OF00111,OS0059,P00487,person,Social Identity,OSINT record suggests online presence associated with Raj Ghosh (P00487).,2024-05-08T20:19:05,0.85,Review,C0032
OF00112,OS0060,P00231,person,Business Listing,OSINT record suggests online presence associated with Varun Menon (P00231).,2024-02-24T11:10:39,0.57,Review,C0033
OF00113,OS0060,O0018,organization,Public Mention,OSINT record references business listing possibly linked to Sterling Constructions Pvt Ltd (O0018).,2024-02-24T06:10:39,0.45,Review,C0033
OF00114,OS0060,P00219,person,Business Listing,OSINT record suggests online presence associated with Kiara Malhotra (P00219).,2024-02-24T01:10:39,0.88,Review,C0033
OF00115,OS0061,P00494,person,Social Identity,OSINT record suggests online presence associated with Kunal Patil (P00494).,2024-03-10T06:50:21,0.74,Disputed,C0034
OF00116,OS0062,P00516,person,Digital Footprint,OSINT record suggests online presence associated with Zoya Patil (P00516).,2024-07-15T16:15:17,0.46,Verified,C0035
OF00117,OS0063,P00519,person,Public Mention,OSINT record suggests online presence associated with Meera Mishra (P00519).,2024-08-25T23:52:49,0.51,Review,C0035
OF00118,OS0064,P00506,person,Digital Footprint,OSINT record suggests online presence associated with Naina Sethi (P00506).,2024-08-24T13:33:48,0.77,Verified,C0035
OF00119,OS0064,P00506,person,Business Listing,OSINT record suggests online presence associated with Naina Sethi (P00506).,2024-08-23T05:33:48,0.91,Disputed,C0035
OF00120,OS0065,P00526,person,Business Listing,OSINT record suggests online presence associated with Sneha Bansal (P00526).,2024-08-19T19:10:46,0.45,Disputed,C0036
OF00121,OS0066,P00533,person,Business Listing,OSINT record suggests online presence associated with Vanya Ghosh (P00533).,2024-07-18T05:37:18,0.51,Disputed,C0037
OF00122,OS0066,P00551,person,Public Mention,OSINT record suggests online presence associated with Meera Malhotra (P00551).,2024-07-18T05:37:18,0.62,Disputed,C0037
OF00123,OS0067,O0021,organization,Social Identity,OSINT record references business listing possibly linked to Yamuna Freight Services (O0021).,2024-07-07T11:12:14,0.85,Review,C0037
OF00124,OS0067,P00554,person,Business Listing,OSINT record suggests online presence associated with Yamini Shetty (P00554).,2024-07-07T17:12:14,0.75,Review,C0037
OF00125,OS0068,O0021,organization,Digital Footprint,OSINT record references business listing possibly linked to Yamuna Freight Services (O0021).,2024-08-07T14:27:43,0.8,Disputed,C0037
OF00126,OS0069,P00572,person,Social Identity,OSINT record suggests online presence associated with Sneha Iyer (P00572).,2024-03-31T05:33:49,0.78,Review,C0038
OF00127,OS0070,P00568,person,Digital Footprint,OSINT record suggests online presence associated with Kavya Bansal (P00568).,2024-08-03T05:18:17,0.79,Verified,C0038
OF00128,OS0070,P00568,person,Digital Footprint,OSINT record suggests online presence associated with Kavya Bansal (P00568).,2024-08-03T14:18:17,0.51,Verified,C0038
OF00129,OS0070,P00569,person,Business Listing,OSINT record suggests online presence associated with Mahi Rao (P00569).,2024-08-04T06:18:17,0.92,Verified,C0038
OF00130,OS0071,P00578,person,Public Mention,OSINT record suggests online presence associated with Vivek Bhat (P00578).,2024-03-20T23:11:36,0.45,Review,C0039
OF00131,OS0071,P00576,person,Social Identity,OSINT record suggests online presence associated with Aditya Patil (P00576).,2024-03-21T15:11:36,0.64,Verified,C0039
OF00132,OS0071,P00577,person,Digital Footprint,OSINT record suggests online presence associated with Naveen Naik (P00577).,2024-03-21T01:11:36,0.5,Disputed,C0039
OF00133,OS0072,O0022,organization,Public Mention,OSINT record references business listing possibly linked to Konkan Retailers Pvt Ltd (O0022).,2024-08-04T23:23:22,0.46,Disputed,C0039
OF00134,OS0072,O0022,organization,Business Listing,OSINT record references business listing possibly linked to Konkan Retailers Pvt Ltd (O0022).,2024-08-04T03:23:22,0.82,Disputed,C0039
OF00135,OS0073,O0022,organization,Public Mention,OSINT record references business listing possibly linked to Konkan Retailers Pvt Ltd (O0022).,2024-02-19T04:59:36,0.9,Verified,C0039
OF00136,OS0073,P00576,person,Digital Footprint,OSINT record suggests online presence associated with Aditya Patil (P00576).,2024-02-20T00:59:36,0.71,Verified,C0039
OF00137,OS0073,O0022,organization,Public Mention,OSINT record references business listing possibly linked to Konkan Retailers Pvt Ltd (O0022).,2024-02-20T09:59:36,0.58,Review,C0039
OF00138,OS0074,P00592,person,Digital Footprint,OSINT record suggests online presence associated with Manav Shah (P00592).,2024-12-05T05:47:58,0.77,Disputed,C0040
OF00139,OS0074,P00584,person,Business Listing,OSINT record suggests online presence associated with Rahul Iyer (P00584).,2024-12-05T12:47:58,0.86,Disputed,C0040
OF00140,OS0075,P00592,person,Public Mention,OSINT record suggests online presence associated with Manav Shah (P00592).,2024-06-18T05:44:16,0.7,Verified,C0040
OF00141,OS0075,P00582,person,Social Identity,OSINT record suggests online presence associated with Tara Bansal (P00582).,2024-06-18T04:44:16,0.77,Review,C0040
OF00142,OS0075,P00589,person,Digital Footprint,OSINT record suggests online presence associated with Tanvi Bhat (P00589).,2024-06-17T16:44:16,0.6,Verified,C0040
OF00143,OS0076,P00588,person,Business Listing,OSINT record suggests online presence associated with Shreya Saxena (P00588).,2024-05-15T01:02:19,0.76,Verified,C0040
OF00144,OS0077,P00591,person,Business Listing,OSINT record suggests online presence associated with Pranav Naik (P00591).,2024-12-23T05:23:02,0.68,Verified,C0040
OF00145,OS0077,P00594,person,Public Mention,OSINT record suggests online presence associated with Riya Das (P00594).,2024-12-21T23:23:02,0.48,Disputed,C0040
OF00146,OS0078,P00596,person,Digital Footprint,OSINT record suggests online presence associated with Sana Rao (P00596).,2024-09-07T14:23:47,0.55,Verified,C0041
OF00147,OS0078,O0024,organization,Public Mention,OSINT record references business listing possibly linked to Sunrise Freight Services (O0024).,2024-09-08T13:23:47,0.52,Verified,C0041
OF00148,OS0079,P00598,person,Digital Footprint,OSINT record suggests online presence associated with Kabir Menon (P00598).,2024-06-16T10:20:24,0.79,Verified,C0042
OF00149,OS0079,P00597,person,Public Mention,OSINT record suggests online presence associated with Vanya Mishra (P00597).,2024-06-16T00:20:24,0.78,Verified,C0042
OF00150,OS0080,P00599,person,Business Listing,OSINT record suggests online presence associated with Diya Jadhav (P00599).,2024-06-27T11:24:03,0.59,Verified,C0043
OF00151,OS0080,P00599,person,Public Mention,OSINT record suggests online presence associated with Diya Jadhav (P00599).,2024-06-28T15:24:03,0.8,Disputed,C0043
OF00152,OS0080,P00608,person,Public Mention,OSINT record suggests online presence associated with Rhea Patil (P00608).,2024-06-27T03:24:03,0.56,Disputed,C0043
OF00153,OS0081,P00601,person,Social Identity,OSINT record suggests online presence associated with Kiara Khan (P00601).,2024-08-22T10:00:19,0.65,Disputed,C0043
OF00154,OS0081,P00605,person,Digital Footprint,OSINT record suggests online presence associated with Sneha Naik (P00605).,2024-08-23T03:00:19,0.72,Verified,C0043
OF00155,OS0081,P00602,person,Business Listing,OSINT record suggests online presence associated with Diya Naik (P00602).,2024-08-23T13:00:19,0.64,Verified,C0043
OF00156,OS0082,P00600,person,Social Identity,OSINT record suggests online presence associated with Arjun Bansal (P00600).,2024-07-11T22:36:25,0.64,Disputed,C0043
OF00157,OS0082,P00603,person,Public Mention,OSINT record suggests online presence associated with Kabir Chavan (P00603).,2024-07-10T13:36:25,0.72,Verified,C0043
OF00158,OS0082,P00604,person,Business Listing,OSINT record suggests online presence associated with Naina Jadhav (P00604).,2024-07-11T21:36:25,0.68,Verified,C0043
OF00159,OS0083,P00086,person,Social Identity,OSINT record suggests online presence associated with Aditya Iyer (P00086).,2024-02-02T20:52:22,0.65,Disputed,C0044
OF00160,OS0083,O0025,organization,Social Identity,OSINT record references business listing possibly linked to Highland Freight Services (O0025).,2024-02-03T07:52:22,0.89,Review,C0044
OF00161,OS0083,P00612,person,Public Mention,OSINT record suggests online presence associated with Ishaan Jadhav (P00612).,2024-02-02T00:52:22,0.48,Review,C0044
OF00162,OS0084,P00640,person,Social Identity,OSINT record suggests online presence associated with Kiara Jadhav (P00640).,2024-07-22T05:37:47,0.6,Review,C0045
OF00163,OS0084,P00634,person,Digital Footprint,OSINT record suggests online presence associated with Yash Das (P00634).,2024-07-21T08:37:47,0.87,Review,C0045
OF00164,OS0084,P00636,person,Public Mention,OSINT record suggests online presence associated with Vanya Nair (P00636).,2024-07-21T21:37:47,0.91,Verified,C0045
OF00165,OS0085,P00662,person,Business Listing,OSINT record suggests online presence associated with Ritesh Verma (P00662).,2024-07-22T18:42:43,0.54,Disputed,C0046
OF00166,OS0086,O0027,organization,Public Mention,OSINT record references business listing possibly linked to Metro Trading Company (O0027).,2024-05-27T23:23:29,0.55,Review,C0046
OF00167,OS0087,P00667,person,Social Identity,OSINT record suggests online presence associated with Ishaan Das (P00667).,2024-12-19T16:24:17,0.61,Review,C0047
OF00168,OS0087,P00667,person,Public Mention,OSINT record suggests online presence associated with Ishaan Das (P00667).,2024-12-19T23:24:17,0.78,Disputed,C0047
OF00169,OS0088,P00670,person,Digital Footprint,OSINT record suggests online presence associated with Diya Chavan (P00670).,2024-08-07T06:19:36,0.76,Disputed,C0048
OF00170,OS0088,O0028,organization,Digital Footprint,OSINT record references business listing possibly linked to Coastal Consulting Services (O0028).,2024-08-05T11:19:36,0.77,Disputed,C0048
OF00171,OS0089,P00252,person,Digital Footprint,OSINT record suggests online presence associated with Siddharth Bhat (P00252).,2024-08-14T22:32:12,0.46,Disputed,C0049
OF00172,OS0090,P00691,person,Digital Footprint,OSINT record suggests online presence associated with Neha Pillai (P00691).,2024-05-27T13:50:19,0.77,Review,C0050
OF00173,OS0090,P00682,person,Public Mention,OSINT record suggests online presence associated with Aman Nair (P00682).,2024-05-27T06:50:19,0.77,Disputed,C0050
OF00174,OS0090,P00680,person,Public Mention,OSINT record suggests online presence associated with Pranav Singh (P00680).,2024-05-26T19:50:19,0.88,Verified,C0050
OF00175,OS0091,P00691,person,Social Identity,OSINT record suggests online presence associated with Neha Pillai (P00691).,2024-04-29T06:52:22,0.49,Verified,C0050
OF00176,OS0092,P00689,person,Business Listing,OSINT record suggests online presence associated with Rhea Mishra (P00689).,2024-08-06T22:48:47,0.79,Verified,C0050
OF00177,OS0092,P00692,person,Business Listing,OSINT record suggests online presence associated with Kunal Singh (P00692).,2024-08-07T03:48:47,0.92,Disputed,C0050
OF00178,OS0092,P00600,person,Business Listing,OSINT record suggests online presence associated with Arjun Bansal (P00600).,2024-08-07T03:48:47,0.74,Review,C0050
OF00179,OS0093,O0029,organization,Public Mention,OSINT record references business listing possibly linked to Highland Financial Solutions (O0029).,2024-05-16T23:42:36,0.54,Disputed,C0051
OF00180,OS0093,P00698,person,Social Identity,OSINT record suggests online presence associated with Aniket Iyer (P00698).,2024-05-17T17:42:36,0.46,Disputed,C0051
OF00181,OS0093,P00285,person,Business Listing,OSINT record suggests online presence associated with Neha Shetty (P00285).,2024-05-17T21:42:36,0.49,Disputed,C0051
OF00182,OS0094,P00696,person,Digital Footprint,OSINT record suggests online presence associated with Karan Singh (P00696).,2024-08-12T22:48:18,0.69,Verified,C0051
OF00183,OS0094,P00285,person,Business Listing,OSINT record suggests online presence associated with Neha Shetty (P00285).,2024-08-12T15:48:18,0.5,Review,C0051
